CPUPerc,MemUsage,NetIO,BlockIO
0.00%,1.184MiB / 1GiB,8.88TB / 8.88TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,8.9TB / 8.9TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,8.92TB / 8.92TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,8.93TB / 8.93TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,8.95TB / 8.95TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,8.96TB / 8.96TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,8.98TB / 8.98TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,9TB / 9TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,9.01TB / 9.01TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,9.03TB / 9.03TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,9.04TB / 9.04TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,9.06TB / 9.06TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,9.07TB / 9.07TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,9.09TB / 9.09TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,9.11TB / 9.11TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,9.12TB / 9.12TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,9.14TB / 9.14TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,9.15TB / 9.15TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,9.17TB / 9.17TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,9.18TB / 9.18TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,9.2TB / 9.2TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,9.22TB / 9.22TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,9.23TB / 9.23TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,9.25TB / 9.25TB,1.16MB / 4.1kB
