CPUPerc,MemUsage,NetIO,BlockIO
0.00%,1.184MiB / 1GiB,1.88TB / 1.88TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.89TB / 1.89TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.89TB / 1.89TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.9TB / 1.9TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.9TB / 1.9TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.91TB / 1.91TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.92TB / 1.92TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.92TB / 1.92TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.93TB / 1.93TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.93TB / 1.93TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.94TB / 1.94TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.94TB / 1.94TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.95TB / 1.95TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.96TB / 1.96TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.96TB / 1.96TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.97TB / 1.97TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.97TB / 1.97TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.98TB / 1.98TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.98TB / 1.98TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,1.99TB / 1.99TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2TB / 2TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2TB / 2TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.01TB / 2.01TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.01TB / 2.01TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.02TB / 2.02TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.03TB / 2.03TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.03TB / 2.03TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.04TB / 2.04TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.04TB / 2.04TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.05TB / 2.05TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.05TB / 2.05TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.06TB / 2.06TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.07TB / 2.07TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.07TB / 2.07TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.08TB / 2.08TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.08TB / 2.08TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.09TB / 2.09TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.09TB / 2.09TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.1TB / 2.1TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.11TB / 2.11TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.11TB / 2.11TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.12TB / 2.12TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.12TB / 2.12TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.13TB / 2.13TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.13TB / 2.13TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.14TB / 2.14TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.15TB / 2.15TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.15TB / 2.15TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.16TB / 2.16TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.16TB / 2.16TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.17TB / 2.17TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.17TB / 2.17TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.18TB / 2.18TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.19TB / 2.19TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.19TB / 2.19TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.2TB / 2.2TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.2TB / 2.2TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.21TB / 2.21TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.21TB / 2.21TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.22TB / 2.22TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.23TB / 2.23TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.23TB / 2.23TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.24TB / 2.24TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.24TB / 2.24TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.25TB / 2.25TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.25TB / 2.25TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.26TB / 2.26TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.27TB / 2.27TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.27TB / 2.27TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.28TB / 2.28TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.28TB / 2.28TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.29TB / 2.29TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.29TB / 2.29TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.3TB / 2.3TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.31TB / 2.31TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.31TB / 2.31TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.32TB / 2.32TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.32TB / 2.32TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.33TB / 2.33TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.33TB / 2.33TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.34TB / 2.34TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.35TB / 2.35TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.35TB / 2.35TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.36TB / 2.36TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.36TB / 2.36TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.37TB / 2.37TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.37TB / 2.37TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.38TB / 2.38TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.39TB / 2.39TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.39TB / 2.39TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.4TB / 2.4TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.4TB / 2.4TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.41TB / 2.41TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.41TB / 2.41TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.42TB / 2.42TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.43TB / 2.43TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.43TB / 2.43TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.44TB / 2.44TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.44TB / 2.44TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.45TB / 2.45TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.45TB / 2.45TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.46TB / 2.46TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.47TB / 2.47TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.47TB / 2.47TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.48TB / 2.48TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.48TB / 2.48TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.49TB / 2.49TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.49TB / 2.49TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.5TB / 2.5TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.51TB / 2.51TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.51TB / 2.51TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.52TB / 2.52TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.52TB / 2.52TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.53TB / 2.53TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.53TB / 2.53TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.54TB / 2.54TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.55TB / 2.55TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.55TB / 2.55TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.56TB / 2.56TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.56TB / 2.56TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.56TB / 2.56TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,2.56TB / 2.56TB,1.16MB / 4.1kB
