CPUPerc,MemUsage,NetIO,BlockIO
0.00%,1.184MiB / 1GiB,11.4TB / 11.4TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.4TB / 11.4TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.5TB / 11.5TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.5TB / 11.5TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.5TB / 11.5TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.5TB / 11.5TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.5TB / 11.5TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.5TB / 11.5TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.6TB / 11.6TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.6TB / 11.6TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.6TB / 11.6TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.6TB / 11.6TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.6TB / 11.6TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.6TB / 11.6TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.6TB / 11.6TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.7TB / 11.7TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.7TB / 11.7TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.7TB / 11.7TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.7TB / 11.7TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.7TB / 11.7TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.7TB / 11.7TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.8TB / 11.8TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.8TB / 11.8TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.8TB / 11.8TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.8TB / 11.8TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.8TB / 11.8TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.8TB / 11.8TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.8TB / 11.8TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.9TB / 11.9TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.9TB / 11.9TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.9TB / 11.9TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.9TB / 11.9TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.9TB / 11.9TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.9TB / 11.9TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,11.9TB / 11.9TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12TB / 12TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12TB / 12TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12TB / 12TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12TB / 12TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12TB / 12TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12TB / 12TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12TB / 12TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12.1TB / 12.1TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12.1TB / 12.1TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12.1TB / 12.1TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12.1TB / 12.1TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12.1TB / 12.1TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12.1TB / 12.1TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12.1TB / 12.1TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12.2TB / 12.2TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12.2TB / 12.2TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12.2TB / 12.2TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12.2TB / 12.2TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12.2TB / 12.2TB,1.16MB / 4.1kB
0.00%,1.184MiB / 1GiB,12.2TB / 12.2TB,1.16MB / 4.1kB
