CPUPerc,MemUsage,NetIO,BlockIO
24.12%,171.5MiB / 1GiB,389MB / 406MB,22.2MB / 848kB
56.89%,171.5MiB / 1GiB,2.3GB / 2.4GB,22.2MB / 872kB
55.85%,171.5MiB / 1GiB,4.19GB / 4.38GB,22.2MB / 872kB
57.92%,171.5MiB / 1GiB,6.11GB / 6.37GB,22.2MB / 872kB
54.98%,171.5MiB / 1GiB,7.98GB / 8.33GB,22.2MB / 926kB
56.11%,171.5MiB / 1GiB,9.83GB / 10.3GB,22.2MB / 926kB
55.88%,171.5MiB / 1GiB,11.7GB / 12.2GB,22.2MB / 926kB
55.49%,171.5MiB / 1GiB,13.6GB / 14.2GB,22.2MB / 999kB
112.89%,178.3MiB / 1GiB,15.6GB / 16.2GB,22.2MB / 116MB
111.92%,179.5MiB / 1GiB,17.5GB / 18.3GB,22.2MB / 180MB
55.51%,179.4MiB / 1GiB,19.4GB / 20.3GB,22.2MB / 180MB
57.15%,179.4MiB / 1GiB,21.3GB / 22.3GB,22.2MB / 275MB
56.47%,179.4MiB / 1GiB,23.2GB / 24.2GB,22.2MB / 275MB
55.43%,179.4MiB / 1GiB,25.1GB / 26.2GB,22.2MB / 275MB
57.07%,179.4MiB / 1GiB,26.9GB / 28.1GB,22.2MB / 275MB
56.54%,179.4MiB / 1GiB,28.8GB / 30.1GB,22.2MB / 275MB
54.73%,179.4MiB / 1GiB,30.6GB / 32GB,22.2MB / 275MB
56.49%,179.4MiB / 1GiB,32.5GB / 33.9GB,22.2MB / 275MB
56.31%,179.4MiB / 1GiB,34.4GB / 35.9GB,22.2MB / 275MB
55.92%,179.4MiB / 1GiB,36.3GB / 37.9GB,22.2MB / 275MB
56.41%,179.4MiB / 1GiB,38.1GB / 39.8GB,22.2MB / 275MB
55.09%,179.4MiB / 1GiB,40GB / 41.8GB,22.2MB / 275MB
56.48%,179.4MiB / 1GiB,41.8GB / 43.7GB,22.2MB / 275MB
56.73%,179.4MiB / 1GiB,43.7GB / 45.6GB,22.2MB / 275MB
56.41%,179.4MiB / 1GiB,45.5GB / 47.5GB,22.2MB / 282MB
57.40%,179.4MiB / 1GiB,47.3GB / 49.4GB,22.2MB / 282MB
55.68%,179.4MiB / 1GiB,49.1GB / 51.3GB,22.2MB / 282MB
58.59%,179.4MiB / 1GiB,50.9GB / 53.2GB,22.2MB / 282MB
56.71%,179.4MiB / 1GiB,52.7GB / 55.1GB,22.2MB / 282MB
57.44%,179.4MiB / 1GiB,54.6GB / 57GB,22.2MB / 282MB
54.95%,179.4MiB / 1GiB,56.4GB / 58.8GB,22.2MB / 282MB
56.13%,179.4MiB / 1GiB,58.2GB / 60.7GB,22.2MB / 282MB
55.14%,179.4MiB / 1GiB,60GB / 62.6GB,22.2MB / 282MB
56.14%,179.4MiB / 1GiB,61.8GB / 64.5GB,22.2MB / 282MB
57.77%,179.4MiB / 1GiB,63.6GB / 66.4GB,22.2MB / 282MB
