CPUPerc,MemUsage,NetIO,BlockIO
5.03%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
3.90%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
3.86%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
1.59%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
2.52%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
3.33%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.17%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
3.63%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
2.78%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
0.64%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.46%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
3.10%,184.8MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.32%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.04%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
0.68%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.47%,184.8MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
2.95%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.50%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.36%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
0.66%,184.8MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.57%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
2.94%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.74%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
2.27%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
0.64%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.41%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.45%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
2.19%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.31%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
0.67%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.30%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.40%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.35%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
2.99%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
1.31%,184.7MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.55%,184.8MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.38%,184.8MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
4.29%,184.8MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
2.42%,184.8MiB / 1GiB,1.5TB / 1.56TB,23.1MB / 301MB
