CPUPerc,MemUsage,NetIO,BlockIO
0.89%,169.1MiB / 1GiB,699GB / 730GB,270kB / 227MB
81.12%,169.4MiB / 1GiB,701GB / 732GB,270kB / 227MB
82.45%,169.4MiB / 1GiB,702GB / 733GB,270kB / 227MB
82.40%,169.4MiB / 1GiB,704GB / 735GB,270kB / 227MB
77.99%,169.4MiB / 1GiB,705GB / 736GB,270kB / 227MB
83.94%,169.4MiB / 1GiB,707GB / 738GB,270kB / 227MB
86.06%,169.4MiB / 1GiB,708GB / 740GB,270kB / 227MB
80.36%,169.4MiB / 1GiB,710GB / 741GB,270kB / 227MB
73.34%,169.4MiB / 1GiB,712GB / 743GB,270kB / 227MB
76.82%,169.4MiB / 1GiB,713GB / 745GB,270kB / 227MB
76.26%,169.4MiB / 1GiB,715GB / 747GB,270kB / 227MB
76.70%,169.4MiB / 1GiB,717GB / 749GB,270kB / 227MB
74.78%,169.4MiB / 1GiB,719GB / 750GB,270kB / 227MB
73.80%,169.4MiB / 1GiB,721GB / 752GB,270kB / 227MB
76.12%,169.4MiB / 1GiB,722GB / 754GB,270kB / 227MB
75.58%,169.4MiB / 1GiB,724GB / 756GB,270kB / 227MB
77.05%,169.4MiB / 1GiB,726GB / 758GB,270kB / 227MB
74.59%,169.4MiB / 1GiB,728GB / 760GB,270kB / 227MB
77.34%,169.4MiB / 1GiB,729GB / 761GB,270kB / 227MB
78.91%,169.4MiB / 1GiB,731GB / 763GB,270kB / 227MB
77.66%,169.4MiB / 1GiB,733GB / 765GB,270kB / 227MB
78.15%,169.4MiB / 1GiB,734GB / 766GB,270kB / 227MB
77.38%,169.4MiB / 1GiB,736GB / 768GB,270kB / 227MB
76.98%,169.4MiB / 1GiB,737GB / 770GB,270kB / 227MB
77.04%,169.4MiB / 1GiB,739GB / 772GB,270kB / 227MB
75.79%,169.4MiB / 1GiB,741GB / 773GB,270kB / 227MB
80.76%,169.4MiB / 1GiB,743GB / 775GB,270kB / 227MB
77.90%,169.4MiB / 1GiB,744GB / 777GB,270kB / 227MB
75.21%,169.4MiB / 1GiB,746GB / 779GB,270kB / 227MB
77.46%,169.4MiB / 1GiB,748GB / 780GB,270kB / 227MB
74.81%,169.4MiB / 1GiB,749GB / 782GB,270kB / 227MB
74.71%,169.4MiB / 1GiB,751GB / 784GB,270kB / 227MB
75.84%,169.4MiB / 1GiB,752GB / 785GB,270kB / 227MB
74.88%,169.4MiB / 1GiB,754GB / 787GB,270kB / 227MB
78.52%,169.4MiB / 1GiB,756GB / 789GB,270kB / 227MB
78.16%,169.4MiB / 1GiB,758GB / 791GB,270kB / 227MB
76.60%,169.4MiB / 1GiB,759GB / 792GB,270kB / 227MB
75.42%,169.4MiB / 1GiB,761GB / 794GB,270kB / 227MB
79.91%,169.4MiB / 1GiB,763GB / 796GB,270kB / 227MB
80.59%,169.4MiB / 1GiB,764GB / 798GB,270kB / 227MB
79.78%,169.4MiB / 1GiB,766GB / 799GB,270kB / 227MB
76.44%,169.4MiB / 1GiB,768GB / 801GB,270kB / 227MB
80.56%,169.4MiB / 1GiB,769GB / 803GB,270kB / 227MB
76.32%,169.4MiB / 1GiB,771GB / 805GB,270kB / 227MB
76.86%,169.4MiB / 1GiB,773GB / 806GB,270kB / 227MB
75.89%,169.4MiB / 1GiB,774GB / 808GB,270kB / 227MB
76.44%,169.4MiB / 1GiB,776GB / 810GB,270kB / 227MB
73.97%,169.4MiB / 1GiB,778GB / 812GB,270kB / 227MB
74.51%,169.4MiB / 1GiB,779GB / 813GB,270kB / 227MB
75.05%,169.4MiB / 1GiB,781GB / 815GB,270kB / 227MB
77.07%,169.4MiB / 1GiB,783GB / 817GB,270kB / 227MB
79.58%,169.4MiB / 1GiB,784GB / 818GB,270kB / 227MB
77.88%,169.4MiB / 1GiB,786GB / 820GB,270kB / 227MB
79.01%,169.4MiB / 1GiB,787GB / 822GB,270kB / 227MB
