CPUPerc,MemUsage,NetIO,BlockIO
0.87%,184.3MiB / 1GiB,1.22TB / 1.27TB,23.1MB / 299MB
59.46%,184.7MiB / 1GiB,1.22TB / 1.27TB,23.1MB / 299MB
58.82%,184.7MiB / 1GiB,1.22TB / 1.27TB,23.1MB / 299MB
56.85%,184.7MiB / 1GiB,1.22TB / 1.27TB,23.1MB / 299MB
55.39%,184.7MiB / 1GiB,1.22TB / 1.28TB,23.1MB / 299MB
58.43%,184.7MiB / 1GiB,1.23TB / 1.28TB,23.1MB / 299MB
55.96%,184.7MiB / 1GiB,1.23TB / 1.28TB,23.1MB / 300MB
57.36%,184.7MiB / 1GiB,1.23TB / 1.28TB,23.1MB / 300MB
56.88%,184.7MiB / 1GiB,1.23TB / 1.28TB,23.1MB / 300MB
57.52%,184.7MiB / 1GiB,1.23TB / 1.29TB,23.1MB / 300MB
55.63%,184.7MiB / 1GiB,1.23TB / 1.29TB,23.1MB / 300MB
56.01%,184.7MiB / 1GiB,1.24TB / 1.29TB,23.1MB / 300MB
56.01%,184.7MiB / 1GiB,1.24TB / 1.29TB,23.1MB / 300MB
57.37%,184.7MiB / 1GiB,1.24TB / 1.29TB,23.1MB / 300MB
56.74%,184.7MiB / 1GiB,1.24TB / 1.3TB,23.1MB / 300MB
57.97%,184.7MiB / 1GiB,1.24TB / 1.3TB,23.1MB / 300MB
56.79%,184.7MiB / 1GiB,1.25TB / 1.3TB,23.1MB / 300MB
57.78%,184.7MiB / 1GiB,1.25TB / 1.3TB,23.1MB / 300MB
56.02%,184.7MiB / 1GiB,1.25TB / 1.3TB,23.1MB / 300MB
58.79%,184.7MiB / 1GiB,1.25TB / 1.3TB,23.1MB / 300MB
55.07%,184.7MiB / 1GiB,1.25TB / 1.31TB,23.1MB / 300MB
56.12%,184.7MiB / 1GiB,1.26TB / 1.31TB,23.1MB / 300MB
56.08%,184.7MiB / 1GiB,1.26TB / 1.31TB,23.1MB / 300MB
58.15%,184.7MiB / 1GiB,1.26TB / 1.31TB,23.1MB / 300MB
57.57%,184.7MiB / 1GiB,1.26TB / 1.31TB,23.1MB / 300MB
56.76%,184.7MiB / 1GiB,1.26TB / 1.32TB,23.1MB / 300MB
55.57%,184.7MiB / 1GiB,1.26TB / 1.32TB,23.1MB / 300MB
55.89%,184.7MiB / 1GiB,1.27TB / 1.32TB,23.1MB / 300MB
58.05%,184.7MiB / 1GiB,1.27TB / 1.32TB,23.1MB / 300MB
58.49%,184.7MiB / 1GiB,1.27TB / 1.32TB,23.1MB / 300MB
55.81%,184.7MiB / 1GiB,1.27TB / 1.33TB,23.1MB / 300MB
58.38%,184.7MiB / 1GiB,1.27TB / 1.33TB,23.1MB / 300MB
57.83%,184.7MiB / 1GiB,1.28TB / 1.33TB,23.1MB / 300MB
57.36%,184.7MiB / 1GiB,1.28TB / 1.33TB,23.1MB / 300MB
56.53%,184.7MiB / 1GiB,1.28TB / 1.33TB,23.1MB / 300MB
55.28%,184.7MiB / 1GiB,1.28TB / 1.34TB,23.1MB / 300MB
55.54%,184.7MiB / 1GiB,1.28TB / 1.34TB,23.1MB / 300MB
57.78%,184.7MiB / 1GiB,1.28TB / 1.34TB,23.1MB / 300MB
56.10%,184.7MiB / 1GiB,1.29TB / 1.34TB,23.1MB / 300MB
57.01%,184.7MiB / 1GiB,1.29TB / 1.34TB,23.1MB / 300MB
57.24%,184.7MiB / 1GiB,1.29TB / 1.35TB,23.1MB / 300MB
57.45%,184.7MiB / 1GiB,1.29TB / 1.35TB,23.1MB / 300MB
56.97%,184.7MiB / 1GiB,1.29TB / 1.35TB,23.1MB / 300MB
56.48%,184.7MiB / 1GiB,1.3TB / 1.35TB,23.1MB / 300MB
55.98%,184.7MiB / 1GiB,1.3TB / 1.35TB,23.1MB / 300MB
59.39%,184.7MiB / 1GiB,1.3TB / 1.35TB,23.1MB / 300MB
57.43%,184.7MiB / 1GiB,1.3TB / 1.36TB,23.1MB / 300MB
57.25%,184.7MiB / 1GiB,1.3TB / 1.36TB,23.1MB / 300MB
56.13%,184.7MiB / 1GiB,1.31TB / 1.36TB,23.1MB / 300MB
57.21%,184.7MiB / 1GiB,1.31TB / 1.36TB,23.1MB / 300MB
55.94%,184.7MiB / 1GiB,1.31TB / 1.36TB,23.1MB / 300MB
56.32%,184.7MiB / 1GiB,1.31TB / 1.37TB,23.1MB / 300MB
57.85%,184.7MiB / 1GiB,1.31TB / 1.37TB,23.1MB / 300MB
55.15%,184.7MiB / 1GiB,1.31TB / 1.37TB,23.1MB / 300MB
55.84%,184.7MiB / 1GiB,1.32TB / 1.37TB,23.1MB / 300MB
57.12%,184.7MiB / 1GiB,1.32TB / 1.37TB,23.1MB / 300MB
56.25%,184.7MiB / 1GiB,1.32TB / 1.38TB,23.1MB / 300MB
58.49%,184.7MiB / 1GiB,1.32TB / 1.38TB,23.1MB / 300MB
57.34%,184.7MiB / 1GiB,1.32TB / 1.38TB,23.1MB / 300MB
56.23%,184.7MiB / 1GiB,1.33TB / 1.38TB,23.1MB / 300MB
56.08%,184.7MiB / 1GiB,1.33TB / 1.38TB,23.1MB / 300MB
57.22%,184.7MiB / 1GiB,1.33TB / 1.39TB,23.1MB / 300MB
57.64%,184.7MiB / 1GiB,1.33TB / 1.39TB,23.1MB / 300MB
58.84%,184.7MiB / 1GiB,1.33TB / 1.39TB,23.1MB / 300MB
56.42%,184.7MiB / 1GiB,1.33TB / 1.39TB,23.1MB / 300MB
55.86%,184.7MiB / 1GiB,1.34TB / 1.39TB,23.1MB / 300MB
57.98%,184.7MiB / 1GiB,1.34TB / 1.4TB,23.1MB / 300MB
58.37%,184.7MiB / 1GiB,1.34TB / 1.4TB,23.1MB / 300MB
56.95%,184.7MiB / 1GiB,1.34TB / 1.4TB,23.1MB / 300MB
55.82%,184.7MiB / 1GiB,1.34TB / 1.4TB,23.1MB / 300MB
56.86%,184.7MiB / 1GiB,1.35TB / 1.4TB,23.1MB / 300MB
56.23%,184.7MiB / 1GiB,1.35TB / 1.4TB,23.1MB / 300MB
56.84%,184.7MiB / 1GiB,1.35TB / 1.41TB,23.1MB / 300MB
57.07%,184.7MiB / 1GiB,1.35TB / 1.41TB,23.1MB / 300MB
59.06%,184.7MiB / 1GiB,1.35TB / 1.41TB,23.1MB / 300MB
57.26%,184.7MiB / 1GiB,1.35TB / 1.41TB,23.1MB / 300MB
59.52%,184.7MiB / 1GiB,1.36TB / 1.41TB,23.1MB / 300MB
57.77%,184.7MiB / 1GiB,1.36TB / 1.42TB,23.1MB / 300MB
56.02%,184.7MiB / 1GiB,1.36TB / 1.42TB,23.1MB / 300MB
57.20%,184.7MiB / 1GiB,1.36TB / 1.42TB,23.1MB / 300MB
57.73%,184.7MiB / 1GiB,1.36TB / 1.42TB,23.1MB / 300MB
56.42%,184.7MiB / 1GiB,1.37TB / 1.42TB,23.1MB / 300MB
57.08%,184.7MiB / 1GiB,1.37TB / 1.43TB,23.1MB / 300MB
56.21%,184.7MiB / 1GiB,1.37TB / 1.43TB,23.1MB / 300MB
56.66%,184.7MiB / 1GiB,1.37TB / 1.43TB,23.1MB / 300MB
56.78%,184.7MiB / 1GiB,1.37TB / 1.43TB,23.1MB / 300MB
57.88%,184.7MiB / 1GiB,1.37TB / 1.43TB,23.1MB / 300MB
58.27%,184.7MiB / 1GiB,1.38TB / 1.44TB,23.1MB / 300MB
