CPUPerc,MemUsage,NetIO,BlockIO
36.80%,182.3MiB / 1GiB,741GB / 772GB,23.1MB / 287MB
131.25%,182.1MiB / 1GiB,741GB / 772GB,23.1MB / 287MB
128.52%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
135.61%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
131.58%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
133.54%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
133.07%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
126.57%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
133.05%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
130.12%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
133.41%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
129.37%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
130.61%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
131.38%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
127.35%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
129.54%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
130.96%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
131.83%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
133.19%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
132.42%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
130.48%,182.1MiB / 1GiB,741GB / 773GB,23.1MB / 287MB
131.08%,182.1MiB / 1GiB,742GB / 773GB,23.1MB / 287MB
133.79%,182.1MiB / 1GiB,742GB / 773GB,23.1MB / 287MB
130.87%,182.1MiB / 1GiB,742GB / 773GB,23.1MB / 287MB
130.55%,182.1MiB / 1GiB,742GB / 773GB,23.1MB / 287MB
131.30%,182.1MiB / 1GiB,742GB / 773GB,23.1MB / 287MB
135.11%,182.1MiB / 1GiB,742GB / 774GB,23.1MB / 287MB
124.71%,182.1MiB / 1GiB,742GB / 774GB,23.1MB / 287MB
132.65%,182.1MiB / 1GiB,742GB / 774GB,23.1MB / 287MB
133.60%,182.1MiB / 1GiB,742GB / 774GB,23.1MB / 287MB
132.10%,182.1MiB / 1GiB,742GB / 774GB,23.1MB / 287MB
132.60%,182.1MiB / 1GiB,742GB / 774GB,23.1MB / 287MB
130.02%,182.1MiB / 1GiB,742GB / 774GB,23.1MB / 287MB
129.51%,182.1MiB / 1GiB,742GB / 774GB,23.1MB / 287MB
132.33%,182.1MiB / 1GiB,742GB / 774GB,23.1MB / 287MB
128.10%,182.1MiB / 1GiB,742GB / 774GB,23.1MB / 287MB
128.35%,182.1MiB / 1GiB,742GB / 774GB,23.1MB / 287MB
128.49%,182.1MiB / 1GiB,742GB / 774GB,23.1MB / 287MB
123.20%,182.1MiB / 1GiB,742GB / 774GB,23.1MB / 287MB
132.99%,182.1MiB / 1GiB,742GB / 774GB,23.1MB / 287MB
127.33%,182.1MiB / 1GiB,742GB / 774GB,23.1MB / 287MB
