CPUPerc,MemUsage,NetIO,BlockIO
27.53%,169MiB / 1GiB,413GB / 431GB,270kB / 226MB
56.35%,169MiB / 1GiB,416GB / 434GB,270kB / 226MB
56.27%,169MiB / 1GiB,418GB / 436GB,270kB / 226MB
55.64%,169MiB / 1GiB,420GB / 439GB,270kB / 226MB
54.73%,169MiB / 1GiB,423GB / 442GB,270kB / 226MB
58.23%,169MiB / 1GiB,425GB / 444GB,270kB / 226MB
57.62%,169MiB / 1GiB,428GB / 447GB,270kB / 226MB
55.56%,169MiB / 1GiB,430GB / 449GB,270kB / 226MB
56.22%,169MiB / 1GiB,433GB / 452GB,270kB / 226MB
57.90%,169.1MiB / 1GiB,435GB / 455GB,270kB / 226MB
57.13%,169.1MiB / 1GiB,438GB / 457GB,270kB / 226MB
58.77%,169MiB / 1GiB,440GB / 460GB,270kB / 226MB
57.14%,169.1MiB / 1GiB,443GB / 462GB,270kB / 226MB
54.07%,169MiB / 1GiB,445GB / 465GB,270kB / 226MB
57.10%,169MiB / 1GiB,448GB / 468GB,270kB / 226MB
54.36%,169MiB / 1GiB,450GB / 470GB,270kB / 226MB
58.38%,169MiB / 1GiB,453GB / 473GB,270kB / 226MB
56.50%,169MiB / 1GiB,455GB / 475GB,270kB / 226MB
56.79%,169MiB / 1GiB,458GB / 478GB,270kB / 226MB
55.28%,169MiB / 1GiB,460GB / 481GB,270kB / 226MB
55.73%,169MiB / 1GiB,463GB / 483GB,270kB / 226MB
55.52%,169MiB / 1GiB,465GB / 486GB,270kB / 226MB
57.39%,169MiB / 1GiB,468GB / 488GB,270kB / 226MB
56.28%,169MiB / 1GiB,470GB / 491GB,270kB / 226MB
57.48%,169MiB / 1GiB,472GB / 493GB,270kB / 226MB
56.82%,169MiB / 1GiB,475GB / 496GB,270kB / 226MB
56.29%,169MiB / 1GiB,477GB / 498GB,270kB / 226MB
55.20%,169MiB / 1GiB,480GB / 501GB,270kB / 226MB
55.42%,169MiB / 1GiB,482GB / 503GB,270kB / 226MB
54.29%,169MiB / 1GiB,484GB / 506GB,270kB / 226MB
56.33%,169MiB / 1GiB,487GB / 508GB,270kB / 226MB
57.61%,169.3MiB / 1GiB,489GB / 511GB,270kB / 226MB
55.79%,169MiB / 1GiB,491GB / 513GB,270kB / 226MB
57.02%,169MiB / 1GiB,494GB / 516GB,270kB / 226MB
58.89%,169MiB / 1GiB,496GB / 518GB,270kB / 226MB
55.54%,169MiB / 1GiB,499GB / 521GB,270kB / 226MB
58.22%,169MiB / 1GiB,501GB / 523GB,270kB / 226MB
55.48%,169MiB / 1GiB,503GB / 526GB,270kB / 226MB
57.12%,169MiB / 1GiB,506GB / 528GB,270kB / 226MB
57.07%,169MiB / 1GiB,508GB / 531GB,270kB / 226MB
56.32%,169MiB / 1GiB,511GB / 533GB,270kB / 226MB
58.09%,169MiB / 1GiB,513GB / 536GB,270kB / 226MB
54.76%,169MiB / 1GiB,515GB / 538GB,270kB / 226MB
53.99%,169MiB / 1GiB,518GB / 541GB,270kB / 226MB
54.53%,169MiB / 1GiB,520GB / 543GB,270kB / 226MB
57.73%,169MiB / 1GiB,523GB / 546GB,270kB / 226MB
