CPUPerc,MemUsage,NetIO,BlockIO
1.11%,170.2MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
3.97%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
3.39%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
3.67%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
0.68%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.39%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.10%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.36%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
0.62%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.62%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.69%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.34%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
0.67%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.36%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.44%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.52%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
0.54%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.63%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
3.49%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.14%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
2.11%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.29%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.25%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
0.68%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.26%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.36%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.45%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
0.67%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.43%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.48%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.24%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
2.10%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.42%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.39%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
0.74%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.33%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.33%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
4.46%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
0.64%,169.9MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
20.06%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
21.56%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
21.51%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
22.94%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
24.59%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
24.33%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
25.30%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
23.55%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
24.18%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
25.81%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
24.44%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
25.38%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
24.87%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
24.68%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
26.27%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
25.19%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
27.08%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
26.84%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
26.68%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
26.10%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
27.80%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
26.71%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
27.21%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
28.52%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
28.25%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
27.45%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
27.12%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
27.58%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
28.68%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
29.05%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
28.47%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
28.01%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
29.49%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
29.08%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
28.78%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
28.52%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
28.79%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
28.20%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
29.32%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
28.44%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
28.63%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
29.09%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
29.26%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
28.22%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
29.97%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
29.05%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
28.06%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 229MB
28.07%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
30.45%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
29.51%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
28.76%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
29.45%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
29.09%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
29.11%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
29.97%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
28.48%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
28.39%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
29.07%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
30.10%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
29.92%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
28.07%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
28.81%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
29.53%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
29.10%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
29.77%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
28.83%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
28.66%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
29.21%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
30.09%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
28.46%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
29.53%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
30.33%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
29.12%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
29.41%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
28.73%,170MiB / 1GiB,1.19TB / 1.24TB,270kB / 230MB
