CPUPerc,MemUsage,NetIO,BlockIO
0.94%,170.3MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
130.44%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
129.56%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
132.75%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
134.11%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
135.34%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
131.08%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
134.23%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
132.55%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
128.45%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
133.72%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
131.89%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
127.77%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
127.22%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
133.25%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
133.08%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
130.12%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
128.02%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
131.56%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
127.96%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
130.49%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
129.80%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
133.04%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
131.03%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
133.11%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
133.75%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
132.70%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
132.20%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
131.11%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
129.75%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
130.88%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
131.13%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
133.58%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
133.91%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
131.08%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
129.15%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
133.47%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
126.99%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
127.62%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
129.24%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
128.38%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
130.07%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
125.27%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
129.12%,170.4MiB / 1GiB,1.22TB / 1.27TB,270kB / 235MB
135.29%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
131.76%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
131.75%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
128.97%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
131.51%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
131.46%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
130.77%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
124.98%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
126.73%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
129.65%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
132.30%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
127.84%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
125.94%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
126.38%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
130.65%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
126.12%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
130.84%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
130.78%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
129.85%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
130.10%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
129.16%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
127.94%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
129.33%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
131.05%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
127.61%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
130.28%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
131.85%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
130.23%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
128.07%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
0.99%,170.4MiB / 1GiB,1.22TB / 1.28TB,270kB / 235MB
