 
SET: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                           
SET: rps=109968.1 (overall: 109968.1) avg_msec=0.277 (overall: 0.277)
                                                                      
SET: rps=105720.0 (overall: 107848.3) avg_msec=0.311 (overall: 0.293)
                                                                      
SET: rps=105484.0 (overall: 107061.2) avg_msec=0.280 (overall: 0.289)
                                                                      
SET: rps=109227.1 (overall: 107603.8) avg_msec=0.268 (overall: 0.284)
                                                                      
SET: rps=108104.0 (overall: 107703.7) avg_msec=0.265 (overall: 0.280)
                                                                      
SET: rps=104952.0 (overall: 107245.7) avg_msec=0.283 (overall: 0.281)
                                                                      
SET: rps=108820.7 (overall: 107471.2) avg_msec=0.253 (overall: 0.277)
                                                                      
SET: rps=111264.0 (overall: 107944.6) avg_msec=0.256 (overall: 0.274)
                                                                      
SET: rps=109396.0 (overall: 108105.6) avg_msec=0.267 (overall: 0.273)
                                                                      
SET: rps=109689.2 (overall: 108264.4) avg_msec=0.251 (overall: 0.271)
                                                                      
SET: rps=110008.0 (overall: 108422.7) avg_msec=0.260 (overall: 0.270)
                                                                      
SET: rps=110816.0 (overall: 108621.8) avg_msec=0.251 (overall: 0.268)
                                                                      
SET: rps=101207.2 (overall: 108050.1) avg_msec=0.283 (overall: 0.269)
                                                                      
SET: rps=106484.0 (overall: 107938.4) avg_msec=0.259 (overall: 0.269)
                                                                      
SET: rps=107996.0 (overall: 107942.2) avg_msec=0.280 (overall: 0.269)
                                                                      
SET: rps=111251.0 (overall: 108149.5) avg_msec=0.254 (overall: 0.268)
                                                                      
SET: rps=109956.0 (overall: 108255.6) avg_msec=0.277 (overall: 0.269)
                                                                      
SET: rps=109884.0 (overall: 108346.0) avg_msec=0.272 (overall: 0.269)
                                                                      
SET: rps=108561.8 (overall: 108357.4) avg_msec=0.250 (overall: 0.268)
                                                                      
SET: rps=109236.0 (overall: 108401.2) avg_msec=0.250 (overall: 0.267)
                                                                      
SET: rps=108472.0 (overall: 108404.6) avg_msec=0.254 (overall: 0.267)
                                                                      
SET: rps=108521.9 (overall: 108410.0) avg_msec=0.272 (overall: 0.267)
                                                                      
SET: rps=110844.0 (overall: 108515.6) avg_msec=0.260 (overall: 0.266)
                                                                      
SET: rps=110140.0 (overall: 108583.2) avg_msec=0.248 (overall: 0.266)
                                                                      
SET: rps=110416.0 (overall: 108656.4) avg_msec=0.269 (overall: 0.266)
                                                                      
SET: rps=106370.5 (overall: 108568.3) avg_msec=0.269 (overall: 0.266)
                                                                      
SET: rps=107720.0 (overall: 108536.9) avg_msec=0.260 (overall: 0.266)
                                                                      
SET: rps=109364.0 (overall: 108566.4) avg_msec=0.271 (overall: 0.266)
                                                                      
SET: rps=107709.2 (overall: 108536.8) avg_msec=0.275 (overall: 0.266)
                                                                      
SET: rps=111364.0 (overall: 108630.9) avg_msec=0.259 (overall: 0.266)
                                                                      
SET: rps=108448.0 (overall: 108625.0) avg_msec=0.270 (overall: 0.266)
                                                                      
SET: rps=110004.0 (overall: 108668.2) avg_msec=0.252 (overall: 0.266)
                                                                      
SET: rps=110368.0 (overall: 108719.6) avg_msec=0.278 (overall: 0.266)
                                                                      
SET: rps=107164.0 (overall: 108674.0) avg_msec=0.274 (overall: 0.266)
                                                                      
SET: rps=104725.1 (overall: 108560.8) avg_msec=0.287 (overall: 0.267)
                                                                      
SET: rps=109396.0 (overall: 108584.0) avg_msec=0.248 (overall: 0.266)
                                                                      
SET: rps=108372.0 (overall: 108578.3) avg_msec=0.270 (overall: 0.266)
                                                                      
SET: rps=105251.0 (overall: 108490.5) avg_msec=0.267 (overall: 0.266)
                                                                      
SET: rps=106976.0 (overall: 108451.7) avg_msec=0.288 (overall: 0.267)
                                                                      
SET: rps=98896.4 (overall: 108212.2) avg_msec=0.292 (overall: 0.268)
                                                                     
SET: rps=99904.0 (overall: 108009.8) avg_msec=0.290 (overall: 0.268)
                                                                     
SET: rps=107048.0 (overall: 107987.0) avg_msec=0.273 (overall: 0.268)
                                                                      
SET: rps=106278.9 (overall: 107947.1) avg_msec=0.266 (overall: 0.268)
                                                                      
SET: rps=98372.0 (overall: 107729.8) avg_msec=0.286 (overall: 0.269)
                                                                     
SET: rps=99600.0 (overall: 107549.4) avg_msec=0.291 (overall: 0.269)
                                                                     
SET: rps=77274.9 (overall: 106889.5) avg_msec=0.382 (overall: 0.271)
                                                                     
SET: rps=75432.0 (overall: 106221.1) avg_msec=0.381 (overall: 0.272)
                                                                     
SET: rps=85824.7 (overall: 105795.1) avg_msec=0.325 (overall: 0.273)
                                                                     
SET: rps=86484.0 (overall: 105401.6) avg_msec=0.330 (overall: 0.274)
                                                                     
SET: rps=85720.0 (overall: 105008.5) avg_msec=0.322 (overall: 0.275)
                                                                     
SET: rps=69721.1 (overall: 104314.8) avg_msec=0.399 (overall: 0.277)
                                                                     
SET: rps=69668.0 (overall: 103649.4) avg_msec=0.398 (overall: 0.278)
                                                                     
SET: rps=94458.2 (overall: 103475.5) avg_msec=0.307 (overall: 0.279)
                                                                     
SET: rps=105372.0 (overall: 103510.6) avg_msec=0.271 (overall: 0.279)
                                                                      
SET: rps=99744.0 (overall: 103442.2) avg_msec=0.278 (overall: 0.279)
                                                                     
SET: rps=98083.7 (overall: 103346.3) avg_msec=0.297 (overall: 0.279)
                                                                     
SET: rps=93168.0 (overall: 103168.0) avg_msec=0.311 (overall: 0.279)
                                                                     
SET: rps=92832.7 (overall: 102989.3) avg_msec=0.310 (overall: 0.280)
                                                                     
SET: rps=91048.0 (overall: 102787.2) avg_msec=0.319 (overall: 0.280)
                                                                     
SET: rps=96524.0 (overall: 102683.0) avg_msec=0.304 (overall: 0.281)
                                                                     
SET: rps=83440.0 (overall: 102368.0) avg_msec=0.357 (overall: 0.282)
                                                                     
SET: rps=80350.6 (overall: 102011.9) avg_msec=0.353 (overall: 0.283)
                                                                     
SET: rps=77468.0 (overall: 101622.9) avg_msec=0.366 (overall: 0.284)
                                                                     
SET: rps=80916.0 (overall: 101299.8) avg_msec=0.364 (overall: 0.285)
                                                                     
SET: rps=63840.6 (overall: 100722.0) avg_msec=0.451 (overall: 0.286)
                                                                     
SET: rps=77180.0 (overall: 100365.8) avg_msec=0.387 (overall: 0.288)
                                                                     
SET: rps=81868.0 (overall: 100090.1) avg_msec=0.346 (overall: 0.288)
                                                                     
SET: rps=78410.4 (overall: 99770.4) avg_msec=0.369 (overall: 0.289)
                                                                    
