 
SET: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                          
SET: rps=123176.0 (overall: 122198.4) avg_msec=0.214 (overall: 0.214)
                                                                      
SET: rps=120688.0 (overall: 121446.2) avg_msec=0.218 (overall: 0.216)
                                                                      
SET: rps=126592.0 (overall: 123156.9) avg_msec=0.209 (overall: 0.214)
                                                                      
SET: rps=129960.2 (overall: 124859.4) avg_msec=0.206 (overall: 0.212)
                                                                      
SET: rps=130364.0 (overall: 125957.7) avg_msec=0.208 (overall: 0.211)
                                                                      
SET: rps=126216.0 (overall: 126000.7) avg_msec=0.212 (overall: 0.211)
                                                                      
SET: rps=123500.0 (overall: 125644.0) avg_msec=0.215 (overall: 0.212)
                                                                      
SET: rps=129585.7 (overall: 126137.7) avg_msec=0.201 (overall: 0.210)
                                                                      
SET: rps=130060.0 (overall: 126572.8) avg_msec=0.207 (overall: 0.210)
                                                                      
SET: rps=130568.0 (overall: 126971.6) avg_msec=0.210 (overall: 0.210)
                                                                      
SET: rps=118426.3 (overall: 126193.1) avg_msec=0.219 (overall: 0.211)
                                                                      
SET: rps=118332.0 (overall: 125539.1) avg_msec=0.227 (overall: 0.212)
                                                                      
SET: rps=128456.0 (overall: 125763.1) avg_msec=0.203 (overall: 0.211)
                                                                      
SET: rps=127828.0 (overall: 125910.4) avg_msec=0.203 (overall: 0.211)
                                                                      
SET: rps=123478.1 (overall: 125747.9) avg_msec=0.211 (overall: 0.211)
                                                                      
SET: rps=123272.0 (overall: 125593.4) avg_msec=0.217 (overall: 0.211)
                                                                      
SET: rps=130164.0 (overall: 125861.8) avg_msec=0.209 (overall: 0.211)
                                                                      
SET: rps=126278.9 (overall: 125885.1) avg_msec=0.210 (overall: 0.211)
                                                                      
SET: rps=129328.0 (overall: 126066.0) avg_msec=0.206 (overall: 0.211)
                                                                      
SET: rps=124640.0 (overall: 125994.8) avg_msec=0.211 (overall: 0.211)
                                                                      
SET: rps=128256.0 (overall: 126102.3) avg_msec=0.204 (overall: 0.210)
                                                                      
SET: rps=127597.6 (overall: 126170.5) avg_msec=0.206 (overall: 0.210)
                                                                      
SET: rps=130564.0 (overall: 126361.2) avg_msec=0.205 (overall: 0.210)
                                                                      
SET: rps=129494.0 (overall: 126492.1) avg_msec=0.200 (overall: 0.209)
                                                                      
SET: rps=130360.0 (overall: 126646.6) avg_msec=0.201 (overall: 0.209)
                                                                      
SET: rps=130288.0 (overall: 126786.5) avg_msec=0.209 (overall: 0.209)
                                                                      
SET: rps=129064.0 (overall: 126870.7) avg_msec=0.206 (overall: 0.209)
                                                                      
SET: rps=129127.5 (overall: 126951.5) avg_msec=0.202 (overall: 0.209)
                                                                      
SET: rps=127596.0 (overall: 126973.7) avg_msec=0.207 (overall: 0.209)
                                                                      
SET: rps=129396.8 (overall: 127055.0) avg_msec=0.208 (overall: 0.209)
                                                                      
SET: rps=128100.0 (overall: 127088.6) avg_msec=0.203 (overall: 0.208)
                                                                      
SET: rps=125876.5 (overall: 127050.7) avg_msec=0.206 (overall: 0.208)
                                                                      
SET: rps=128324.0 (overall: 127089.2) avg_msec=0.205 (overall: 0.208)
                                                                      
SET: rps=129028.0 (overall: 127146.1) avg_msec=0.205 (overall: 0.208)
                                                                      
SET: rps=122613.6 (overall: 127016.3) avg_msec=0.211 (overall: 0.208)
                                                                      
SET: rps=129180.0 (overall: 127076.3) avg_msec=0.203 (overall: 0.208)
                                                                      
SET: rps=130148.0 (overall: 127159.2) avg_msec=0.199 (overall: 0.208)
                                                                      
SET: rps=128524.0 (overall: 127195.1) avg_msec=0.203 (overall: 0.208)
                                                                      
SET: rps=128008.0 (overall: 127215.9) avg_msec=0.207 (overall: 0.208)
                                                                      
SET: rps=129446.2 (overall: 127271.8) avg_msec=0.202 (overall: 0.208)
                                                                      
SET: rps=128368.0 (overall: 127298.5) avg_msec=0.205 (overall: 0.207)
                                                                      
SET: rps=130324.0 (overall: 127370.4) avg_msec=0.200 (overall: 0.207)
                                                                      
SET: rps=130350.6 (overall: 127439.9) avg_msec=0.201 (overall: 0.207)
                                                                      
SET: rps=123992.0 (overall: 127361.7) avg_msec=0.217 (overall: 0.207)
                                                                      
SET: rps=126812.0 (overall: 127349.5) avg_msec=0.208 (overall: 0.207)
                                                                      
SET: rps=129386.5 (overall: 127393.9) avg_msec=0.202 (overall: 0.207)
                                                                      
SET: rps=129620.0 (overall: 127441.1) avg_msec=0.205 (overall: 0.207)
                                                                      
SET: rps=129968.0 (overall: 127493.7) avg_msec=0.211 (overall: 0.207)
                                                                      
SET: rps=128772.9 (overall: 127519.9) avg_msec=0.208 (overall: 0.207)
                                                                      
SET: rps=129860.0 (overall: 127566.6) avg_msec=0.205 (overall: 0.207)
                                                                      
SET: rps=130540.0 (overall: 127624.8) avg_msec=0.203 (overall: 0.207)
                                                                      
SET: rps=123420.0 (overall: 127544.1) avg_msec=0.214 (overall: 0.207)
                                                                      
SET: rps=126640.0 (overall: 127527.1) avg_msec=0.205 (overall: 0.207)
                                                                      
SET: rps=125733.1 (overall: 127493.8) avg_msec=0.205 (overall: 0.207)
                                                                      
SET: rps=117476.0 (overall: 127311.9) avg_msec=0.221 (overall: 0.207)
                                                                      
SET: rps=108032.0 (overall: 126968.0) avg_msec=0.240 (overall: 0.208)
                                                                      
SET: rps=107135.5 (overall: 126619.2) avg_msec=0.241 (overall: 0.208)
                                                                      
SET: rps=108788.0 (overall: 126312.2) avg_msec=0.238 (overall: 0.209)
                                                                      
SET: rps=107416.0 (overall: 125992.3) avg_msec=0.241 (overall: 0.209)
                                                                      
SET: rps=107848.0 (overall: 125690.3) avg_msec=0.249 (overall: 0.210)
                                                                      
SET: rps=107183.3 (overall: 125386.2) avg_msec=0.241 (overall: 0.210)
                                                                      
SET: rps=108588.0 (overall: 125115.6) avg_msec=0.240 (overall: 0.211)
                                                                      
SET: rps=108376.0 (overall: 124850.2) avg_msec=0.254 (overall: 0.211)
                                                                      
SET: rps=105091.6 (overall: 124540.7) avg_msec=0.250 (overall: 0.212)
                                                                      
SET: rps=107380.0 (overall: 124277.0) avg_msec=0.242 (overall: 0.212)
                                                                      
SET: rps=107348.0 (overall: 124020.9) avg_msec=0.242 (overall: 0.213)
                                                                      
SET: rps=105892.0 (overall: 123750.7) avg_msec=0.245 (overall: 0.213)
                                                                      
SET: rps=105039.8 (overall: 123474.8) avg_msec=0.253 (overall: 0.214)
                                                                      
SET: rps=102776.0 (overall: 123175.2) avg_msec=0.257 (overall: 0.214)
                                                                      
SET: rps=107788.0 (overall: 122955.7) avg_msec=0.247 (overall: 0.215)
                                                                      
SET: rps=106059.8 (overall: 122717.1) avg_msec=0.250 (overall: 0.215)
                                                                      
SET: rps=100748.0 (overall: 122412.3) avg_msec=0.261 (overall: 0.215)
                                                                      
SET: rps=102128.0 (overall: 122134.8) avg_msec=0.255 (overall: 0.216)
                                                                      
SET: rps=107541.8 (overall: 121937.1) avg_msec=0.244 (overall: 0.216)
                                                                      
SET: rps=109328.0 (overall: 121769.2) avg_msec=0.240 (overall: 0.217)
                                                                      
SET: rps=105068.0 (overall: 121549.8) avg_msec=0.256 (overall: 0.217)
                                                                      
