 
SET: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                           
SET: rps=118135.5 (overall: 118135.5) avg_msec=0.220 (overall: 0.220)
                                                                      
SET: rps=131912.0 (overall: 125010.0) avg_msec=0.202 (overall: 0.211)
                                                                      
SET: rps=126264.0 (overall: 125427.4) avg_msec=0.209 (overall: 0.210)
                                                                      
SET: rps=129432.0 (overall: 126427.6) avg_msec=0.201 (overall: 0.208)
                                                                      
SET: rps=128255.0 (overall: 126793.9) avg_msec=0.205 (overall: 0.207)
                                                                      
SET: rps=131576.0 (overall: 127589.9) avg_msec=0.197 (overall: 0.206)
                                                                      
SET: rps=130872.0 (overall: 128058.2) avg_msec=0.201 (overall: 0.205)
                                                                      
SET: rps=117400.0 (overall: 126727.3) avg_msec=0.236 (overall: 0.208)
                                                                      
SET: rps=124282.9 (overall: 126454.9) avg_msec=0.213 (overall: 0.209)
                                                                      
SET: rps=130624.0 (overall: 126871.4) avg_msec=0.200 (overall: 0.208)
                                                                      
SET: rps=124188.0 (overall: 126627.7) avg_msec=0.210 (overall: 0.208)
                                                                      
SET: rps=130159.4 (overall: 126922.8) avg_msec=0.198 (overall: 0.207)
                                                                      
SET: rps=130644.0 (overall: 127208.7) avg_msec=0.199 (overall: 0.207)
                                                                      
SET: rps=131104.0 (overall: 127486.6) avg_msec=0.199 (overall: 0.206)
                                                                      
SET: rps=131444.0 (overall: 127750.1) avg_msec=0.203 (overall: 0.206)
                                                                      
SET: rps=130673.3 (overall: 127933.3) avg_msec=0.197 (overall: 0.205)
                                                                      
SET: rps=131508.0 (overall: 128143.4) avg_msec=0.197 (overall: 0.205)
                                                                      
SET: rps=125408.0 (overall: 127991.6) avg_msec=0.210 (overall: 0.205)
                                                                      
SET: rps=131964.0 (overall: 128200.4) avg_msec=0.200 (overall: 0.205)
                                                                      
SET: rps=127338.6 (overall: 128157.2) avg_msec=0.204 (overall: 0.205)
                                                                      
SET: rps=129928.0 (overall: 128241.4) avg_msec=0.200 (overall: 0.205)
                                                                      
SET: rps=131384.0 (overall: 128384.1) avg_msec=0.197 (overall: 0.204)
                                                                      
SET: rps=131063.8 (overall: 128501.0) avg_msec=0.197 (overall: 0.204)
                                                                      
