Time(s),COMMAND,RES,%CPU,%MEM
0.0,top,3764,11.1,0.2
0.0,systemd,12348,0.0,0.6
0.0,kthreadd,0,0.0,0.0
.1,top,3760,5.6,0.2
.1,systemd,12348,0.0,0.6
.1,kthreadd,0,0.0,0.0
.2,top,3676,38.9,0.2
.2,systemd,12348,0.0,0.6
.2,kthreadd,0,0.0,0.0
.3,top,3736,15.0,0.2
.3,systemd,12348,0.0,0.6
.3,kthreadd,0,0.0,0.0
.4,awk,3064,85.7,0.2
.4,top,3804,19.0,0.2
.4,head,1016,9.5,0.1
.5,awk,3160,72.7,0.2
.5,top,3764,13.6,0.2
.5,ksoftirqd/1,0,4.5,0.0
.6,top,3772,21.1,0.2
.6,systemd,12348,0.0,0.6
.6,kthreadd,0,0.0,0.0
.7,top,3772,11.8,0.2
.7,ksoftirqd/1,0,5.9,0.0
.7,kworker/u4:2-ext4-rsv-conversion,0,2.9,0.0
.8,top,3632,17.4,0.2
.8,ksoftirqd/1,0,4.3,0.0
.8,systemd-network,7360,4.3,0.4
.9,top,3744,20.0,0.2
.9,kworker/0:0-events,0,5.0,0.0
.9,systemd,12348,0.0,0.6
1.0,head,1056,39.1,0.1
1.0,top,3596,17.4,0.2
1.0,awk,3196,17.4,0.2
1.1,top,3612,20.0,0.2
1.1,systemd,12348,0.0,0.6
1.1,kthreadd,0,0.0,0.0
1.2,head,1008,30.4,0.1
1.2,top,3808,8.7,0.2
1.2,awk,3064,8.7,0.2
1.3,top,3616,18.2,0.2
1.3,awk,3124,13.6,0.2
1.3,head,1008,13.6,0.1
1.4,top,3696,33.3,0.2
1.4,ksoftirqd/1,0,3.3,0.0
1.4,kworker/0:1H-kblockd,0,3.3,0.0
1.5,awk,3064,54.5,0.2
1.5,top,3624,18.2,0.2
1.5,ksoftirqd/1,0,9.1,0.0
1.6,top,3640,20.0,0.2
1.6,ksoftirqd/1,0,5.0,0.0
1.6,systemd,12348,0.0,0.6
1.7,top,3788,22.9,0.2
1.7,ksoftirqd/1,0,2.9,0.0
1.7,systemd,12348,0.0,0.6
1.8,awk,3140,84.2,0.2
1.8,top,3808,15.8,0.2
1.8,head,1092,10.5,0.1
1.9,top,3756,15.0,0.2
1.9,systemd,12348,0.0,0.6
1.9,kthreadd,0,0.0,0.0
2.0,top,3748,12.0,0.2
2.0,systemd,12348,0.0,0.6
