Time(s),COMMAND,RES,%CPU,%MEM
0.0,top,3744,11.8,0.2
0.0,systemd,12348,0.0,0.6
0.0,kthreadd,0,0.0,0.0
.1,top,3768,5.6,0.2
.1,systemd,12348,0.0,0.6
.1,kthreadd,0,0.0,0.0
.2,top,3736,11.1,0.2
.2,systemd,12348,0.0,0.6
.2,kthreadd,0,0.0,0.0
.3,top,3704,5.9,0.2
.3,systemd,12348,0.0,0.6
.3,kthreadd,0,0.0,0.0
.4,top,3620,11.8,0.2
.4,systemd,12348,0.0,0.6
.4,kthreadd,0,0.0,0.0
.5,top,3748,11.1,0.2
.5,systemd,12348,0.0,0.6
.5,kthreadd,0,0.0,0.0
.6,top,3760,5.9,0.2
.6,systemd,12348,0.0,0.6
.6,kthreadd,0,0.0,0.0
.7,top,3812,5.6,0.2
.7,systemd,12348,0.0,0.6
.7,kthreadd,0,0.0,0.0
.8,top,3628,11.1,0.2
.8,systemd,12348,0.0,0.6
.8,kthreadd,0,0.0,0.0
.9,top,3796,16.7,0.2
.9,systemd,12348,0.0,0.6
.9,kthreadd,0,0.0,0.0
1.0,top,3732,11.1,0.2
1.0,systemd,12348,0.0,0.6
1.0,kthreadd,0,0.0,0.0
1.1,top,3632,16.7,0.2
1.1,systemd,12348,0.0,0.6
1.1,kthreadd,0,0.0,0.0
1.2,top,3676,11.1,0.2
1.2,systemd,12348,0.0,0.6
1.2,kthreadd,0,0.0,0.0
1.3,top,3744,11.1,0.2
1.3,systemd,12348,0.0,0.6
1.3,kthreadd,0,0.0,0.0
1.4,top,3776,11.8,0.2
1.4,systemd,12348,0.0,0.6
1.4,kthreadd,0,0.0,0.0
1.5,top,3612,11.1,0.2
1.5,systemd,12348,0.0,0.6
1.5,kthreadd,0,0.0,0.0
1.6,top,3728,11.1,0.2
1.6,systemd,12348,0.0,0.6
1.6,kthreadd,0,0.0,0.0
1.7,top,3796,11.8,0.2
1.7,systemd,12348,0.0,0.6
1.7,kthreadd,0,0.0,0.0
1.8,top,3736,11.8,0.2
1.8,rcu_sched,0,5.9,0.0
1.8,systemd,12348,0.0,0.6
1.9,top,3804,5.6,0.2
1.9,systemd,12348,0.0,0.6
1.9,kthreadd,0,0.0,0.0
2.0,top,3688,5.6,0.2
2.0,systemd,12348,0.0,0.6
2.0,kthreadd,0,0.0,0.0
2.1,top,3808,11.1,0.2
2.1,systemd,12348,0.0,0.6
2.1,kthreadd,0,0.0,0.0
2.2,top,3580,11.8,0.2
2.2,kworker/1:0-mm_percpu_wq,0,5.9,0.0
2.2,systemd,12348,0.0,0.6
2.3,top,3792,5.6,0.2
2.3,systemd,12348,0.0,0.6
2.3,kthreadd,0,0.0,0.0
2.4,kworker/u4:0-flush-253:0,0,5.6,0.0
2.4,top,3668,5.6,0.2
2.4,systemd,12348,0.0,0.6
2.5,top,3804,11.1,0.2
2.5,systemd,12348,0.0,0.6
2.5,kthreadd,0,0.0,0.0
2.6,top,3792,5.9,0.2
2.6,systemd,12348,0.0,0.6
2.6,kthreadd,0,0.0,0.0
2.7,top,3768,11.1,0.2
2.7,systemd,12348,0.0,0.6
2.7,kthreadd,0,0.0,0.0
2.8,top,3760,5.6,0.2
2.8,systemd,12348,0.0,0.6
2.8,kthreadd,0,0.0,0.0
2.9,top,3784,11.8,0.2
2.9,kworker/0:0-events,0,5.9,0.0
2.9,systemd,12348,0.0,0.6
3.0,top,3628,5.6,0.2
3.0,systemd,12348,0.0,0.6
3.0,kthreadd,0,0.0,0.0
3.1,top,3760,16.7,0.2
3.1,systemd,12348,0.0,0.6
3.1,kthreadd,0,0.0,0.0
3.2,top,3752,11.8,0.2
3.2,systemd,12348,0.0,0.6
3.2,kthreadd,0,0.0,0.0
3.3,top,3628,17.6,0.2
3.3,systemd,12348,0.0,0.6
3.3,kthreadd,0,0.0,0.0
3.4,top,3724,11.8,0.2
3.4,systemd,12348,0.0,0.6
3.4,kthreadd,0,0.0,0.0
3.5,top,3784,11.1,0.2
3.5,systemd,12348,0.0,0.6
3.5,kthreadd,0,0.0,0.0
3.6,top,3764,11.8,0.2
3.6,systemd,12348,0.0,0.6
3.6,kthreadd,0,0.0,0.0
3.7,top,3800,16.7,0.2
3.7,systemd,12348,0.0,0.6
3.7,kthreadd,0,0.0,0.0
3.8,top,3876,5.6,0.2
3.8,systemd,12348,0.0,0.6
3.8,kthreadd,0,0.0,0.0
3.9,top,3612,11.1,0.2
3.9,systemd,12348,0.0,0.6
3.9,kthreadd,0,0.0,0.0
4.0,top,3736,11.8,0.2
4.0,systemd,12348,0.0,0.6
4.0,kthreadd,0,0.0,0.0
4.1,top,3796,5.9,0.2
4.1,systemd,12348,0.0,0.6
4.1,kthreadd,0,0.0,0.0
4.2,top,3740,11.8,0.2
4.2,kworker/u4:2-events_freezable_power_,0,5.9,0.0
4.2,systemd,12348,0.0,0.6
4.3,systemd,12348,5.6,0.6
4.3,systemd-journal,12388,5.6,0.6
4.3,systemd-timesyn,5936,5.6,0.3
4.4,top,3688,11.1,0.2
4.4,systemd,12348,0.0,0.6
4.4,kthreadd,0,0.0,0.0
4.5,top,3612,5.6,0.2
4.5,systemd,12348,0.0,0.6
4.5,kthreadd,0,0.0,0.0
4.6,top,3684,5.6,0.2
4.6,systemd,12348,0.0,0.6
4.6,kthreadd,0,0.0,0.0
4.7,top,3692,5.9,0.2
4.7,systemd,12348,0.0,0.6
4.7,kthreadd,0,0.0,0.0
4.8,top,3804,5.6,0.2
4.8,systemd,12348,0.0,0.6
4.8,kthreadd,0,0.0,0.0
4.9,top,3664,17.6,0.2
4.9,systemd,12348,0.0,0.6
4.9,kthreadd,0,0.0,0.0
5.0,top,3652,16.7,0.2
5.0,systemd,12348,0.0,0.6
5.0,kthreadd,0,0.0,0.0
5.1,top,3716,5.3,0.2
5.1,systemd,12348,0.0,0.6
5.1,kthreadd,0,0.0,0.0
5.2,top,3740,11.8,0.2
5.2,systemd,12348,0.0,0.6
5.2,kthreadd,0,0.0,0.0
5.3,top,3772,11.8,0.2
5.3,systemd,12348,0.0,0.6
5.3,kthreadd,0,0.0,0.0
5.4,top,3796,11.1,0.2
5.4,systemd,12348,0.0,0.6
5.4,kthreadd,0,0.0,0.0
5.5,top,3612,17.6,0.2
5.5,systemd,12348,0.0,0.6
5.5,kthreadd,0,0.0,0.0
5.6,top,3612,11.1,0.2
5.6,systemd,12348,0.0,0.6
5.6,kthreadd,0,0.0,0.0
5.7,top,3744,5.9,0.2
5.7,systemd,12348,0.0,0.6
5.7,kthreadd,0,0.0,0.0
5.8,top,3756,5.9,0.2
5.8,systemd,12348,0.0,0.6
5.8,kthreadd,0,0.0,0.0
5.9,top,3736,11.8,0.2
5.9,rcu_sched,0,5.9,0.0
5.9,systemd,12348,0.0,0.6
6.0,top,3776,11.8,0.2
6.0,systemd,12348,0.0,0.6
6.0,kthreadd,0,0.0,0.0
6.1,top,3868,11.1,0.2
6.1,systemd,12348,0.0,0.6
6.1,kthreadd,0,0.0,0.0
6.2,top,3800,5.6,0.2
6.2,systemd,12348,0.0,0.6
6.2,kthreadd,0,0.0,0.0
6.3,top,3808,11.1,0.2
6.3,kworker/u4:2-events_power_efficient,0,5.6,0.0
6.3,systemd,12348,0.0,0.6
6.4,top,3628,11.8,0.2
6.4,systemd,12348,0.0,0.6
6.4,kthreadd,0,0.0,0.0
6.5,top,3704,11.1,0.2
6.5,systemd,12348,0.0,0.6
6.5,kthreadd,0,0.0,0.0
6.6,top,3780,11.8,0.2
6.6,systemd,12348,0.0,0.6
6.6,kthreadd,0,0.0,0.0
6.7,top,3620,16.7,0.2
6.7,systemd,12348,0.0,0.6
6.7,kthreadd,0,0.0,0.0
6.8,top,3804,11.1,0.2
6.8,systemd,12348,0.0,0.6
6.8,kthreadd,0,0.0,0.0
6.9,top,3768,17.6,0.2
