Time(s),COMMAND,RES,%CPU,%MEM
0.0,top,3620,11.8,0.2
0.0,systemd,12840,0.0,0.6
0.0,kthreadd,0,0.0,0.0
.1,top,3704,5.6,0.2
.1,systemd,12840,0.0,0.6
.1,kthreadd,0,0.0,0.0
.2,top,3752,11.8,0.2
.2,systemd,12840,0.0,0.6
.2,kthreadd,0,0.0,0.0
.3,head,1008,38.9,0.1
.3,awk,3100,22.2,0.2
.3,ksoftirqd/0,0,11.1,0.0
.4,awk,1840,77.8,0.1
.4,ksoftirqd/0,0,11.1,0.0
.4,top,3568,11.1,0.2
.5,ksoftirqd/0,0,11.1,0.0
.5,top,3692,11.1,0.2
.5,systemd,12840,0.0,0.6
.6,top,3752,16.7,0.2
.6,systemd,12840,0.0,0.6
.6,kthreadd,0,0.0,0.0
.7,head,1004,83.3,0.0
.7,awk,3152,16.7,0.2
.7,ksoftirqd/0,0,11.1,0.0
.8,awk,3120,66.7,0.2
.8,ksoftirqd/0,0,11.1,0.0
.8,top,3728,5.6,0.2
.9,awk,3068,66.7,0.2
.9,ksoftirqd/0,0,11.1,0.0
.9,top,3748,11.1,0.2
1.0,top,3872,15.8,0.2
1.0,ksoftirqd/0,0,5.3,0.0
1.0,systemd,12840,0.0,0.6
1.1,top,3744,37.8,0.2
1.1,ksoftirqd/1,0,2.7,0.0
1.1,systemd,12840,0.0,0.6
1.2,top,3736,42.9,0.2
1.2,rcu_sched,0,2.9,0.0
1.2,ksoftirqd/1,0,2.9,0.0
1.3,awk,3156,70.0,0.2
1.3,top,3796,20.0,0.2
1.3,ksoftirqd/1,0,5.0,0.0
1.4,top,3640,31.0,0.2
1.4,ksoftirqd/1,0,4.8,0.0
1.4,systemd,12840,0.0,0.6
1.5,top,3804,8.1,0.2
1.5,ksoftirqd/1,0,2.7,0.0
1.5,systemd,12840,0.0,0.6
1.6,top,3784,42.9,0.2
1.6,ksoftirqd/1,0,2.9,0.0
1.6,systemd,12840,0.0,0.6
1.7,top,3632,34.4,0.2
1.7,rcu_sched,0,3.1,0.0
1.7,ksoftirqd/1,0,3.1,0.0
1.8,top,3764,29.0,0.2
1.8,ksoftirqd/1,0,3.2,0.0
1.8,systemd,12840,0.0,0.6
1.9,top,3756,11.4,0.2
1.9,ksoftirqd/1,0,2.9,0.0
1.9,jbd2/dm-0-8,0,2.9,0.0
2.0,top,3736,37.8,0.2
2.0,ksoftirqd/0,0,2.7,0.0
2.0,ksoftirqd/1,0,2.7,0.0
2.1,top,3788,34.8,0.2
2.1,ksoftirqd/1,0,4.3,0.0
2.1,kworker/u4:3-events_power_efficient,0,4.3,0.0
2.2,top,3616,22.6,0.2
2.2,systemd,12840,0.0,0.6
2.2,kthreadd,0,0.0,0.0
2.3,top,3592,40.0,0.2
2.3,ksoftirqd/1,0,3.3,0.0
2.3,systemd,12840,0.0,0.6
2.4,top,3804,41.9,0.2
2.4,systemd,12840,0.0,0.6
2.4,kthreadd,0,0.0,0.0
2.5,top,3836,23.8,0.2
2.5,systemd,12840,0.0,0.6
2.5,kthreadd,0,0.0,0.0
2.6,top,3728,32.3,0.2
2.6,ksoftirqd/1,0,3.2,0.0
2.6,systemd,12840,0.0,0.6
2.7,top,3804,46.4,0.2
2.7,systemd,12840,0.0,0.6
2.7,kthreadd,0,0.0,0.0
2.8,top,3740,26.8,0.2
2.8,ksoftirqd/1,0,4.9,0.0
2.8,systemd,12840,0.0,0.6
2.9,top,3744,20.0,0.2
2.9,systemd,12840,0.0,0.6
2.9,kthreadd,0,0.0,0.0
3.0,top,3804,46.4,0.2
3.0,ksoftirqd/1,0,3.6,0.0
3.0,systemd,12840,0.0,0.6
3.1,top,3744,25.7,0.2
3.1,ksoftirqd/1,0,2.9,0.0
3.1,kworker/u4:3-events_power_efficient,0,2.9,0.0
3.2,top,3764,30.0,0.2
3.2,systemd,12840,0.0,0.6
3.2,kthreadd,0,0.0,0.0
3.3,top,3668,8.8,0.2
3.3,ksoftirqd/1,0,2.9,0.0
3.3,systemd,12840,0.0,0.6
3.4,top,3768,47.4,0.2
3.4,rcu_sched,0,2.6,0.0
3.4,ksoftirqd/1,0,2.6,0.0
3.5,top,3744,40.6,0.2
3.5,rcu_sched,0,3.1,0.0
