Time(s),COMMAND,RES,%CPU,%MEM
0.0,top,3740,5.9,0.2
0.0,systemd,12840,0.0,0.6
0.0,kthreadd,0,0.0,0.0
.1,top,3744,11.1,0.2
.1,systemd,12840,0.0,0.6
.1,kthreadd,0,0.0,0.0
.2,top,3760,11.8,0.2
.2,systemd,12840,0.0,0.6
.2,kthreadd,0,0.0,0.0
.3,awk,3056,62.5,0.2
.3,top,3704,29.2,0.2
.3,ksoftirqd/0,0,12.5,0.0
.4,top,3776,16.7,0.2
.4,systemd,12840,0.0,0.6
.4,kthreadd,0,0.0,0.0
.5,awk,812,83.3,0.0
.5,top,3736,11.1,0.2
.5,ksoftirqd/0,0,5.6,0.0
.6,top,3620,15.8,0.2
.6,kworker/u4:0-flush-253:0,0,5.3,0.0
.6,systemd,12840,0.0,0.6
.7,awk,592,83.3,0.0
.7,top,3616,16.7,0.2
.7,ksoftirqd/0,0,11.1,0.0
.8,awk,2940,26.3,0.1
.8,ksoftirqd/0,0,15.8,0.0
.8,top,3776,10.5,0.2
.9,top,3680,11.8,0.2
.9,ksoftirqd/1,0,5.9,0.0
.9,systemd,12840,0.0,0.6
1.0,awk,3116,84.2,0.2
1.0,top,3788,15.8,0.2
1.0,ksoftirqd/1,0,5.3,0.0
1.1,top,3792,15.0,0.2
1.1,ksoftirqd/1,0,10.0,0.0
1.1,systemd,12840,0.0,0.6
1.2,awk,3060,77.3,0.2
1.2,top,3760,13.6,0.2
1.2,ksoftirqd/1,0,4.5,0.0
1.3,top,3680,10.5,0.2
1.3,rcu_sched,0,5.3,0.0
1.3,ksoftirqd/1,0,5.3,0.0
1.4,awk,816,81.0,0.0
1.4,top,3784,19.0,0.2
1.4,head,992,14.3,0.0
1.5,head,1016,81.0,0.1
1.5,awk,3112,23.8,0.2
1.5,top,3812,19.0,0.2
1.6,udisksd,13252,68.4,0.7
1.6,awk,3144,26.3,0.2
1.6,head,1060,26.3,0.1
1.7,udisksd,13252,94.7,0.7
1.7,top,3636,15.8,0.2
1.7,ksoftirqd/1,0,5.3,0.0
1.8,top,3788,16.7,0.2
1.8,rcu_sched,0,5.6,0.0
1.8,systemd,12840,0.0,0.6
1.9,awk,3120,94.4,0.2
1.9,top,3804,16.7,0.2
1.9,head,1020,16.7,0.1
2.0,awk,3120,52.6,0.2
2.0,top,3628,15.8,0.2
2.0,head,992,15.8,0.0
2.1,awk,3048,89.5,0.2
2.1,top,3648,15.8,0.2
2.1,head,1020,10.5,0.1
2.2,top,3776,7.7,0.2
2.2,rcu_sched,0,2.6,0.0
2.2,ksoftirqd/1,0,2.6,0.0
2.3,awk,3184,72.7,0.2
2.3,snapd,32672,31.8,1.6
2.3,top,3800,13.6,0.2
2.4,top,3760,15.8,0.2
2.4,ksoftirqd/1,0,5.3,0.0
2.4,systemd,12840,0.0,0.6
2.5,awk,3092,89.5,0.2
2.5,top,3676,15.8,0.2
2.5,ksoftirqd/1,0,5.3,0.0
2.6,top,3744,21.1,0.2
2.6,ksoftirqd/1,0,5.3,0.0
2.6,systemd,12840,0.0,0.6
2.7,awk,3128,89.5,0.2
2.7,top,3616,15.8,0.2
2.7,head,1028,15.8,0.1
2.8,top,3808,25.0,0.2
2.8,ksoftirqd/1,0,5.0,0.0
2.8,systemd,12840,0.0,0.6
2.9,top,3760,19.0,0.2
2.9,rcu_sched,0,4.8,0.0
2.9,ksoftirqd/1,0,4.8,0.0
3.0,top,3684,25.0,0.2
3.0,systemd,12840,0.0,0.6
3.0,kthreadd,0,0.0,0.0
3.1,awk,3064,29.2,0.2
3.1,top,3712,12.5,0.2
3.1,ksoftirqd/0,0,4.2,0.0
3.2,top,3812,20.0,0.2
3.2,ksoftirqd/1,0,5.0,0.0
3.2,systemd,12840,0.0,0.6
3.3,awk,3056,85.7,0.2
3.3,top,3760,19.0,0.2
3.3,ksoftirqd/1,0,9.5,0.0
3.4,awk,3124,28.6,0.2
3.4,top,3752,19.0,0.2
3.4,ksoftirqd/1,0,4.8,0.0
3.5,top,3796,20.0,0.2
3.5,systemd,12840,0.0,0.6
3.5,kthreadd,0,0.0,0.0
3.6,head,1020,20.0,0.1
3.6,top,3748,16.0,0.2
3.6,ksoftirqd/1,0,8.0,0.0
3.7,head,1056,72.7,0.1
3.7,top,3756,18.2,0.2
3.7,awk,3100,9.1,0.2
3.8,top,3676,12.0,0.2
3.8,ksoftirqd/1,0,8.0,0.0
3.8,systemd,12840,0.0,0.6
3.9,top,3700,20.0,0.2
3.9,ksoftirqd/1,0,5.0,0.0
3.9,systemd,12840,0.0,0.6
4.0,top,3688,18.2,0.2
4.0,head,1020,9.1,0.1
4.0,ksoftirqd/1,0,4.5,0.0
4.1,awk,3052,81.0,0.2
4.1,top,3796,14.3,0.2
