Time(s),COMMAND,RES,%CPU,%MEM
0.0,top,3752,11.8,0.2
0.0,systemd,12348,0.0,0.6
0.0,kthreadd,0,0.0,0.0
.1,top,3708,11.1,0.2
.1,systemd,12348,0.0,0.6
.1,kthreadd,0,0.0,0.0
.2,top,3812,21.1,0.2
.2,awk,3200,15.8,0.2
.2,ksoftirqd/0,0,5.3,0.0
.3,top,3800,15.8,0.2
.3,awk,3120,15.8,0.2
.3,head,1040,5.3,0.1
.4,top,3612,28.6,0.2
.4,systemd,12348,0.0,0.6
.4,kthreadd,0,0.0,0.0
.5,top,3748,23.8,0.2
.5,systemd,12348,0.0,0.6
.5,kthreadd,0,0.0,0.0
.6,top,3772,20.0,0.2
.6,ksoftirqd/0,0,5.0,0.0
.6,systemd,12348,0.0,0.6
.7,top,3756,10.5,0.2
.7,awk,3072,10.5,0.2
.7,rcu_sched,0,5.3,0.0
.8,top,3804,22.7,0.2
.8,fwupd,80396,4.5,4.0
.8,systemd,12348,0.0,0.6
.9,top,3784,20.0,0.2
.9,systemd,12348,0.0,0.6
.9,kthreadd,0,0.0,0.0
1.0,top,3752,19.0,0.2
1.0,rcu_sched,0,4.8,0.0
1.0,systemd,12348,0.0,0.6
1.1,top,3708,20.0,0.2
1.1,systemd,12348,0.0,0.6
1.1,kthreadd,0,0.0,0.0
1.2,top,3764,15.8,0.2
1.2,awk,3112,10.5,0.2
1.2,systemd,12348,0.0,0.6
1.3,awk,3064,16.7,0.2
1.3,top,3800,11.1,0.2
1.3,systemd,12348,0.0,0.6
1.4,top,3812,20.0,0.2
1.4,systemd,12348,0.0,0.6
1.4,kthreadd,0,0.0,0.0
1.5,top,3776,20.0,0.2
1.5,systemd,12348,0.0,0.6
1.5,kthreadd,0,0.0,0.0
1.6,top,3736,14.3,0.2
1.6,systemd,12348,0.0,0.6
1.6,kthreadd,0,0.0,0.0
1.7,top,3792,15.8,0.2
1.7,awk,3112,10.5,0.2
1.7,head,1016,10.5,0.1
1.8,top,3800,23.8,0.2
1.8,systemd,12348,0.0,0.6
1.8,kthreadd,0,0.0,0.0
1.9,top,3760,10.5,0.2
1.9,awk,3108,10.5,0.2
1.9,systemd,12348,0.0,0.6
2.0,top,3768,25.0,0.2
2.0,systemd,12348,0.0,0.6
2.0,kthreadd,0,0.0,0.0
2.1,top,3748,27.3,0.2
2.1,kworker/0:1H-kblockd,0,4.5,0.0
2.1,systemd,12348,0.0,0.6
2.2,top,3752,15.0,0.2
2.2,systemd,12348,0.0,0.6
2.2,kthreadd,0,0.0,0.0
2.3,top,3788,16.7,0.2
2.3,awk,3120,11.1,0.2
2.3,kworker/1:0-events,0,5.6,0.0
2.4,top,3744,16.7,0.2
2.4,awk,3056,16.7,0.2
2.4,systemd,12348,0.0,0.6
2.5,awk,3064,15.8,0.2
2.5,top,3584,10.5,0.2
2.5,systemd,12348,0.0,0.6
2.6,top,3636,16.7,0.2
2.6,awk,3064,16.7,0.2
2.6,head,1116,5.6,0.1
2.7,top,3804,25.0,0.2
2.7,kworker/u4:1-events_power_efficient,0,5.0,0.0
2.7,systemd,12348,0.0,0.6
2.8,top,3800,22.7,0.2
2.8,systemd,12348,0.0,0.6
2.8,kthreadd,0,0.0,0.0
2.9,awk,3140,15.8,0.2
2.9,top,3764,10.5,0.2
2.9,rcu_sched,0,5.3,0.0
3.0,top,3760,18.2,0.2
3.0,ksoftirqd/0,0,4.5,0.0
3.0,systemd,12348,0.0,0.6
3.1,top,3604,22.7,0.2
3.1,systemd,12348,0.0,0.6
3.1,kthreadd,0,0.0,0.0
3.2,awk,3116,16.7,0.2
3.2,top,3752,11.1,0.2
3.2,head,1040,5.6,0.1
3.3,top,3772,21.7,0.2
3.3,systemd,12348,0.0,0.6
3.3,kthreadd,0,0.0,0.0
3.4,top,3796,20.0,0.2
3.4,awk,3104,15.0,0.2
3.4,systemd,12348,0.0,0.6
3.5,top,3724,22.7,0.2
3.5,systemd,12348,0.0,0.6
3.5,kthreadd,0,0.0,0.0
3.6,awk,3164,21.1,0.2
3.6,top,3752,15.8,0.2
3.6,systemd,12348,0.0,0.6
3.7,top,3816,22.7,0.2
3.7,systemd,12348,0.0,0.6
3.7,kthreadd,0,0.0,0.0
3.8,awk,3172,25.0,0.2
3.8,top,3700,15.0,0.2
3.8,ksoftirqd/0,0,5.0,0.0
3.9,top,3776,15.8,0.2
3.9,systemd,12348,0.0,0.6
3.9,kthreadd,0,0.0,0.0
4.0,top,3776,29.2,0.2
4.0,systemd,12348,0.0,0.6
4.0,kthreadd,0,0.0,0.0
4.1,top,3760,20.0,0.2
4.1,awk,3116,5.0,0.2
4.1,systemd,12348,0.0,0.6
4.2,top,3812,31.8,0.2
4.2,systemd,12348,0.0,0.6
4.2,kthreadd,0,0.0,0.0
4.3,top,3760,21.7,0.2
4.3,kworker/u4:1-events_power_efficient,0,4.3,0.0
4.3,systemd,12348,0.0,0.6
4.4,top,3776,26.1,0.2
4.4,systemd,12348,0.0,0.6
4.4,kthreadd,0,0.0,0.0
4.5,top,3760,14.3,0.2
4.5,systemd,12348,0.0,0.6
4.5,kthreadd,0,0.0,0.0
4.6,top,3628,25.0,0.2
4.6,systemd,12348,0.0,0.6
4.6,kthreadd,0,0.0,0.0
4.7,top,3744,23.8,0.2
4.7,systemd,12348,0.0,0.6
4.7,kthreadd,0,0.0,0.0
4.8,awk,3060,15.8,0.2
4.8,top,3736,10.5,0.2
4.8,head,996,10.5,0.0
4.9,top,3788,22.7,0.2
4.9,systemd,12348,0.0,0.6
4.9,kthreadd,0,0.0,0.0
5.0,top,3736,15.0,0.2
5.0,awk,3196,15.0,0.2
5.0,ksoftirqd/0,0,5.0,0.0
5.1,top,3740,19.0,0.2
5.1,systemd,12348,0.0,0.6
5.1,kthreadd,0,0.0,0.0
5.2,top,3776,16.7,0.2
5.2,awk,3108,16.7,0.2
5.2,systemd,12348,0.0,0.6
5.3,top,3752,26.1,0.2
5.3,systemd,12348,0.0,0.6
5.3,kthreadd,0,0.0,0.0
5.4,top,3684,15.0,0.2
5.4,awk,3120,10.0,0.2
5.4,systemd,12348,0.0,0.6
5.5,top,3740,21.7,0.2
5.5,systemd,12348,0.0,0.6
5.5,kthreadd,0,0.0,0.0
5.6,top,3692,28.6,0.2
5.6,systemd,12348,0.0,0.6
5.6,kthreadd,0,0.0,0.0
5.7,top,3808,14.3,0.2
5.7,systemd,12348,0.0,0.6
5.7,kthreadd,0,0.0,0.0
5.8,top,3648,19.0,0.2
5.8,systemd,12348,0.0,0.6
5.8,kthreadd,0,0.0,0.0
5.9,top,3748,15.8,0.2
5.9,awk,3156,15.8,0.2
5.9,systemd,12348,0.0,0.6
6.0,top,3604,22.7,0.2
6.0,ksoftirqd/0,0,4.5,0.0
6.0,rcu_sched,0,4.5,0.0
6.1,top,3604,22.7,0.2
6.1,systemd,12348,0.0,0.6
6.1,kthreadd,0,0.0,0.0
6.2,awk,3124,21.1,0.2
6.2,top,3740,10.5,0.2
6.2,kworker/u4:1-events_power_efficient,0,5.3,0.0
6.3,top,3756,23.8,0.2
6.3,systemd,12348,0.0,0.6
6.3,kthreadd,0,0.0,0.0
6.4,top,3632,22.7,0.2
6.4,ksoftirqd/0,0,4.5,0.0
6.4,systemd,12348,0.0,0.6
