Time(s),COMMAND,RES,%CPU,%MEM
0.0,top,3740,11.1,0.2
0.0,rcu_sched,0,5.6,0.0
0.0,systemd,12400,0.0,0.6
.1,top,3776,16.7,0.2
.1,Suricata-Main,45788,5.6,2.3
.1,systemd,12400,0.0,0.6
.2,ksoftirqd/0,0,84.0,0.0
.2,Suricata-Main,45788,48.0,2.3
.2,top,3688,8.0,0.2
.3,ksoftirqd/0,0,89.5,0.0
.3,Suricata-Main,45788,63.2,2.3
.3,top,3768,15.8,0.2
.4,ksoftirqd/0,0,76.2,0.0
.4,Suricata-Main,45788,57.1,2.3
.4,top,3732,9.5,0.2
.5,ksoftirqd/0,0,81.0,0.0
.5,Suricata-Main,45788,61.9,2.3
.5,top,3664,14.3,0.2
.6,ksoftirqd/0,0,78.9,0.0
.6,Suricata-Main,45788,52.6,2.3
.6,top,3768,15.8,0.2
.7,ksoftirqd/0,0,83.3,0.0
.7,Suricata-Main,45788,41.7,2.3
.7,top,3752,12.5,0.2
.8,ksoftirqd/0,0,85.0,0.0
.8,Suricata-Main,45788,65.0,2.3
.8,top,3768,15.0,0.2
.9,ksoftirqd/0,0,85.0,0.0
.9,Suricata-Main,45788,55.0,2.3
.9,top,3724,15.0,0.2
1.0,ksoftirqd/0,0,79.2,0.0
1.0,Suricata-Main,45788,50.0,2.3
1.0,top,3776,12.5,0.2
1.1,ksoftirqd/0,0,78.3,0.0
1.1,Suricata-Main,45788,60.9,2.3
1.1,top,3624,13.0,0.2
1.2,ksoftirqd/0,0,82.6,0.0
1.2,Suricata-Main,45788,60.9,2.3
1.2,top,3752,8.7,0.2
1.3,ksoftirqd/0,0,95.2,0.0
1.3,Suricata-Main,45788,57.1,2.3
1.3,top,3768,14.3,0.2
1.4,ksoftirqd/0,0,82.6,0.0
1.4,Suricata-Main,45788,52.2,2.3
1.4,top,3804,17.4,0.2
1.5,ksoftirqd/0,0,90.9,0.0
1.5,Suricata-Main,45788,54.5,2.3
1.5,top,3616,13.6,0.2
1.6,ksoftirqd/0,0,83.3,0.0
1.6,Suricata-Main,45788,41.7,2.3
1.6,top,3620,12.5,0.2
1.7,ksoftirqd/0,0,91.3,0.0
1.7,Suricata-Main,45788,56.5,2.3
1.7,top,3764,13.0,0.2
1.8,ksoftirqd/0,0,87.5,0.0
1.8,Suricata-Main,45788,54.2,2.3
1.8,top,3768,12.5,0.2
1.9,ksoftirqd/0,0,76.9,0.0
1.9,Suricata-Main,45788,50.0,2.3
1.9,top,3740,11.5,0.2
2.0,ksoftirqd/0,0,84.6,0.0
2.0,Suricata-Main,45788,50.0,2.3
2.0,top,3752,11.5,0.2
2.1,ksoftirqd/0,0,88.0,0.0
2.1,Suricata-Main,45788,52.0,2.3
2.1,top,3800,12.0,0.2
2.2,ksoftirqd/0,0,83.3,0.0
2.2,Suricata-Main,45788,54.2,2.3
2.2,top,3628,12.5,0.2
2.3,ksoftirqd/0,0,82.6,0.0
2.3,Suricata-Main,45788,52.2,2.3
2.3,top,3740,13.0,0.2
2.4,ksoftirqd/0,0,78.6,0.0
2.4,Suricata-Main,45788,46.4,2.3
2.4,top,3756,14.3,0.2
2.5,ksoftirqd/0,0,91.3,0.0
2.5,Suricata-Main,45788,60.9,2.3
2.5,top,3776,8.7,0.2
2.6,ksoftirqd/0,0,84.6,0.0
2.6,Suricata-Main,45788,53.8,2.3
2.6,top,3772,7.7,0.2
2.7,ksoftirqd/0,0,84.0,0.0
2.7,Suricata-Main,45788,52.0,2.3
2.7,top,3804,12.0,0.2
2.8,ksoftirqd/0,0,80.8,0.0
2.8,Suricata-Main,45788,46.2,2.3
2.8,top,3692,15.4,0.2
2.9,ksoftirqd/0,0,84.2,0.0
2.9,Suricata-Main,45788,63.2,2.3
2.9,top,3760,21.1,0.2
3.0,ksoftirqd/0,0,80.0,0.0
3.0,Suricata-Main,45788,52.0,2.3
3.0,top,3796,12.0,0.2
3.1,ksoftirqd/0,0,81.8,0.0
3.1,Suricata-Main,45788,50.0,2.3
3.1,top,3800,13.6,0.2
3.2,ksoftirqd/0,0,84.6,0.0
3.2,Suricata-Main,45788,50.0,2.3
3.2,top,3768,11.5,0.2
3.3,ksoftirqd/0,0,80.8,0.0
3.3,Suricata-Main,45788,50.0,2.3
3.3,top,3768,15.4,0.2
3.4,ksoftirqd/0,0,87.5,0.0
3.4,Suricata-Main,45788,50.0,2.3
3.4,top,3736,12.5,0.2
3.5,ksoftirqd/0,0,84.0,0.0
3.5,Suricata-Main,45788,52.0,2.3
3.5,top,3764,16.0,0.2
3.6,ksoftirqd/0,0,91.3,0.0
3.6,Suricata-Main,45788,56.5,2.3
3.6,top,3588,13.0,0.2
3.7,ksoftirqd/0,0,81.5,0.0
3.7,Suricata-Main,45788,48.1,2.3
3.7,top,3748,11.1,0.2
3.8,ksoftirqd/0,0,84.6,0.0
3.8,Suricata-Main,45788,50.0,2.3
3.8,top,3740,15.4,0.2
3.9,ksoftirqd/0,0,88.5,0.0
3.9,Suricata-Main,45788,50.0,2.3
3.9,top,3800,15.4,0.2
4.0,ksoftirqd/0,0,82.6,0.0
4.0,Suricata-Main,45788,56.5,2.3
4.0,top,3692,13.0,0.2
4.1,ksoftirqd/0,0,90.9,0.0
4.1,Suricata-Main,45788,63.6,2.3
4.1,top,3768,18.2,0.2
4.2,ksoftirqd/0,0,84.2,0.0
4.2,Suricata-Main,45788,68.4,2.3
4.2,top,3728,21.1,0.2
4.3,ksoftirqd/0,0,85.2,0.0
4.3,Suricata-Main,45788,51.9,2.3
