Time(s),COMMAND,RES,%CPU,%MEM
0.0,top,3744,16.7,0.2
0.0,Suricata-Main,47908,5.6,2.4
0.0,systemd,12400,0.0,0.6
.1,top,3760,16.7,0.2
.1,Suricata-Main,47908,11.1,2.4
.1,systemd,12400,0.0,0.6
.2,Suricata-Main,47908,5.9,2.4
.2,top,3604,5.9,0.2
.2,systemd,12400,0.0,0.6
.3,top,3808,16.7,0.2
.3,systemd,12400,0.0,0.6
.3,kthreadd,0,0.0,0.0
.4,top,3748,16.7,0.2
.4,systemd,12400,0.0,0.6
.4,kthreadd,0,0.0,0.0
.5,top,3804,11.8,0.2
.5,systemd,12400,0.0,0.6
.5,kthreadd,0,0.0,0.0
.6,top,3808,11.1,0.2
.6,Suricata-Main,47908,5.6,2.4
.6,systemd,12400,0.0,0.6
.7,kworker/1:0-mm_percpu_wq,0,5.9,0.0
.7,kworker/u4:0-events_power_efficient,0,5.9,0.0
.7,top,3752,5.9,0.2
.8,top,3760,11.8,0.2
.8,systemd,12400,0.0,0.6
.8,kthreadd,0,0.0,0.0
.9,Suricata-Main,47908,11.8,2.4
.9,top,3640,5.9,0.2
.9,systemd,12400,0.0,0.6
1.0,top,3796,11.8,0.2
1.0,Suricata-Main,47908,5.9,2.4
1.0,systemd,12400,0.0,0.6
1.1,top,3760,11.1,0.2
1.1,systemd,12400,0.0,0.6
1.1,kthreadd,0,0.0,0.0
1.2,Suricata-Main,47908,5.9,2.4
1.2,top,3752,5.9,0.2
1.2,systemd,12400,0.0,0.6
1.3,top,3696,11.8,0.2
1.3,Suricata-Main,47908,5.9,2.4
1.3,systemd,12400,0.0,0.6
1.4,top,3712,11.8,0.2
1.4,Suricata-Main,47908,5.9,2.4
1.4,awk,3168,5.9,0.2
1.5,Suricata-Main,47908,11.1,2.4
1.5,top,3768,11.1,0.2
1.5,rcu_sched,0,5.6,0.0
1.6,top,3752,11.1,0.2
1.6,systemd,12400,0.0,0.6
1.6,kthreadd,0,0.0,0.0
1.7,Suricata-Main,47908,11.8,2.4
1.7,top,3756,5.9,0.2
1.7,systemd,12400,0.0,0.6
1.8,top,3676,5.6,0.2
1.8,systemd,12400,0.0,0.6
1.8,kthreadd,0,0.0,0.0
1.9,top,3764,5.6,0.2
1.9,systemd,12400,0.0,0.6
1.9,kthreadd,0,0.0,0.0
2.0,top,3772,11.8,0.2
2.0,awk,3176,5.9,0.2
2.0,systemd,12400,0.0,0.6
2.1,Suricata-Main,47908,5.9,2.4
2.1,top,3668,5.9,0.2
2.1,systemd,12400,0.0,0.6
2.2,top,3620,11.1,0.2
2.2,Suricata-Main,47908,5.6,2.4
2.2,systemd,12400,0.0,0.6
2.3,top,3796,11.1,0.2
2.3,awk,3132,11.1,0.2
2.3,Suricata-Main,47908,5.6,2.4
2.4,top,3672,10.5,0.2
2.4,head,1012,10.5,0.1
2.4,systemd,12400,0.0,0.6
2.5,Suricata-Main,47908,11.8,2.4
2.5,top,3700,5.9,0.2
2.5,systemd,12400,0.0,0.6
2.6,top,3788,11.1,0.2
2.6,Suricata-Main,47908,5.6,2.4
2.6,systemd,12400,0.0,0.6
2.7,top,3800,11.1,0.2
2.7,Suricata-Main,47908,5.6,2.4
2.7,systemd,12400,0.0,0.6
2.8,top,3644,11.1,0.2
2.8,rcu_sched,0,5.6,0.0
2.8,systemd,12400,0.0,0.6
2.9,top,3768,11.8,0.2
2.9,systemd,12400,0.0,0.6
2.9,kthreadd,0,0.0,0.0
3.0,top,3756,11.8,0.2
3.0,Suricata-Main,47908,5.9,2.4
3.0,systemd,12400,0.0,0.6
3.1,top,3748,5.6,0.2
3.1,systemd,12400,0.0,0.6
3.1,kthreadd,0,0.0,0.0
3.2,Suricata-Main,47908,11.8,2.4
3.2,top,3804,5.9,0.2
3.2,systemd,12400,0.0,0.6
3.3,Suricata-Main,47908,5.6,2.4
3.3,top,3764,5.6,0.2
3.3,systemd,12400,0.0,0.6
3.4,Suricata-Main,47908,11.1,2.4
3.4,top,3736,11.1,0.2
3.4,systemd,12400,0.0,0.6
3.5,top,3756,10.5,0.2
3.5,systemd,12400,0.0,0.6
3.5,kthreadd,0,0.0,0.0
3.6,top,3676,11.1,0.2
3.6,systemd,12400,0.0,0.6
3.6,kthreadd,0,0.0,0.0
3.7,top,3876,11.8,0.2
3.7,systemd,12400,0.0,0.6
3.7,kthreadd,0,0.0,0.0
3.8,top,3696,11.8,0.2
3.8,Suricata-Main,47908,5.9,2.4
3.8,systemd,12400,0.0,0.6
