Time(s),COMMAND,RES,%CPU,%MEM
0.0,top,3760,11.1,0.2
0.0,systemd,12400,0.0,0.6
0.0,kthreadd,0,0.0,0.0
.1,top,3760,16.7,0.2
.1,Suricata-Main,45788,5.6,2.3
.1,kworker/u4:0-events_power_efficient,0,5.6,0.0
.2,ksoftirqd/0,0,77.8,0.0
.2,Suricata-Main,45788,72.2,2.3
.2,top,3800,11.1,0.2
.3,ksoftirqd/0,0,71.4,0.0
.3,Suricata-Main,45788,61.9,2.3
.3,top,3612,14.3,0.2
.4,ksoftirqd/0,0,70.8,0.0
.4,Suricata-Main,45788,58.3,2.3
.4,top,3768,12.5,0.2
.5,ksoftirqd/0,0,70.0,0.0
.5,Suricata-Main,45788,50.0,2.3
.5,top,3828,15.0,0.2
.6,ksoftirqd/0,0,78.3,0.0
.6,Suricata-Main,45788,52.2,2.3
.6,top,3744,13.0,0.2
.7,ksoftirqd/0,0,75.0,0.0
.7,Suricata-Main,45788,50.0,2.3
.7,top,3768,12.5,0.2
.8,ksoftirqd/0,0,77.3,0.0
.8,Suricata-Main,45788,59.1,2.3
.8,top,3764,13.6,0.2
.9,ksoftirqd/0,0,77.8,0.0
.9,Suricata-Main,45788,61.1,2.3
.9,top,3760,16.7,0.2
1.0,ksoftirqd/0,0,79.2,0.0
1.0,Suricata-Main,45788,54.2,2.3
1.0,top,3800,12.5,0.2
1.1,ksoftirqd/0,0,75.0,0.0
1.1,Suricata-Main,45788,58.3,2.3
1.1,top,3868,8.3,0.2
1.2,ksoftirqd/0,0,73.7,0.0
1.2,Suricata-Main,45788,63.2,2.3
1.2,top,3744,15.8,0.2
1.3,ksoftirqd/0,0,73.1,0.0
1.3,Suricata-Main,45788,46.2,2.3
1.3,top,3776,11.5,0.2
1.4,ksoftirqd/0,0,69.2,0.0
1.4,Suricata-Main,45788,53.8,2.3
1.4,top,3708,11.5,0.2
1.5,ksoftirqd/0,0,72.4,0.0
1.5,Suricata-Main,45788,44.8,2.3
1.5,top,3616,6.9,0.2
1.6,ksoftirqd/0,0,73.7,0.0
1.6,Suricata-Main,45788,68.4,2.3
1.6,top,3796,15.8,0.2
1.7,ksoftirqd/0,0,78.9,0.0
1.7,Suricata-Main,45788,63.2,2.3
1.7,top,3740,15.8,0.2
1.8,ksoftirqd/0,0,76.9,0.0
1.8,Suricata-Main,45788,53.8,2.3
1.8,top,3688,7.7,0.2
1.9,ksoftirqd/0,0,87.0,0.0
1.9,Suricata-Main,45788,52.2,2.3
1.9,top,3680,13.0,0.2
2.0,ksoftirqd/0,0,69.2,0.0
2.0,Suricata-Main,45788,46.2,2.3
2.0,top,3768,7.7,0.2
2.1,ksoftirqd/0,0,75.0,0.0
2.1,Suricata-Main,45788,46.4,2.3
2.1,top,3796,10.7,0.2
2.2,ksoftirqd/0,0,65.0,0.0
2.2,Suricata-Main,45788,55.0,2.3
2.2,udisksd,12232,20.0,0.6
2.3,ksoftirqd/0,0,74.1,0.0
2.3,Suricata-Main,45788,55.6,2.3
2.3,top,3784,11.1,0.2
2.4,ksoftirqd/0,0,77.3,0.0
2.4,Suricata-Main,45788,54.5,2.3
2.4,top,3804,13.6,0.2
2.5,ksoftirqd/0,0,75.0,0.0
2.5,Suricata-Main,45788,42.9,2.3
2.5,top,3744,17.9,0.2
2.6,ksoftirqd/0,0,73.9,0.0
2.6,Suricata-Main,45788,65.2,2.3
2.6,top,3808,17.4,0.2
2.7,ksoftirqd/0,0,76.0,0.0
2.7,Suricata-Main,45788,52.0,2.3
2.7,top,3596,12.0,0.2
2.8,ksoftirqd/0,0,78.9,0.0
2.8,Suricata-Main,45788,68.4,2.3
2.8,top,3792,21.1,0.2
2.9,ksoftirqd/0,0,73.1,0.0
2.9,Suricata-Main,45788,53.8,2.3
2.9,top,3796,15.4,0.2
3.0,ksoftirqd/0,0,73.1,0.0
3.0,Suricata-Main,45788,50.0,2.3
3.0,top,3628,11.5,0.2
3.1,ksoftirqd/0,0,57.9,0.0
3.1,Suricata-Main,45788,57.9,2.3
3.1,top,3636,21.1,0.2
3.2,ksoftirqd/0,0,70.8,0.0
3.2,Suricata-Main,45788,45.8,2.3
3.2,top,3776,12.5,0.2
3.3,ksoftirqd/0,0,73.7,0.0
3.3,Suricata-Main,45788,73.7,2.3
3.3,top,3748,21.1,0.2
3.4,ksoftirqd/0,0,86.4,0.0
3.4,Suricata-Main,45788,54.5,2.3
3.4,top,3812,13.6,0.2
3.5,ksoftirqd/0,0,83.3,0.0
3.5,Suricata-Main,45788,55.6,2.3
3.5,top,3752,11.1,0.2
3.6,ksoftirqd/0,0,87.5,0.0
