Time(s),COMMAND,RES,%CPU,%MEM
0.0,top,3776,11.8,0.2
0.0,systemd,12400,0.0,0.6
0.0,kthreadd,0,0.0,0.0
.1,top,3780,11.1,0.2
.1,rcu_sched,0,5.6,0.0
.1,Suricata-Main,47908,5.6,2.4
.2,Suricata-Main,47908,73.7,2.4
.2,ksoftirqd/0,0,15.8,0.0
.2,awk,2976,15.8,0.1
.3,Suricata-Main,47908,83.3,2.4
.3,top,3736,16.7,0.2
.3,ksoftirqd/0,0,5.6,0.0
.4,Suricata-Main,47908,84.2,2.4
.4,top,3732,15.8,0.2
.4,ksoftirqd/0,0,10.5,0.0
.5,Suricata-Main,47908,94.4,2.4
.5,top,3796,11.1,0.2
.5,ksoftirqd/0,0,5.6,0.0
.6,Suricata-Main,47908,78.9,2.4
.6,top,3708,15.8,0.2
.6,ksoftirqd/0,0,10.5,0.0
.7,Suricata-Main,47908,88.9,2.4
.7,ksoftirqd/0,0,11.1,0.0
.7,top,3628,11.1,0.2
.8,Suricata-Main,47908,77.8,2.4
.8,ksoftirqd/0,0,11.1,0.0
.8,top,3784,11.1,0.2
.9,Suricata-Main,47908,52.6,2.4
.9,top,3768,10.5,0.2
.9,rcu_sched,0,5.3,0.0
1.0,Suricata-Main,47908,61.1,2.4
1.0,top,3612,11.1,0.2
1.0,ksoftirqd/0,0,5.6,0.0
1.1,Suricata-Main,47908,65.0,2.4
1.1,top,3624,10.0,0.2
1.1,ksoftirqd/0,0,5.0,0.0
1.2,Suricata-Main,47908,66.7,2.4
1.2,top,3796,11.1,0.2
1.2,ksoftirqd/0,0,5.6,0.0
1.3,Suricata-Main,47908,94.7,2.4
1.3,top,3868,31.6,0.2
1.3,ksoftirqd/0,0,5.3,0.0
1.4,Suricata-Main,47908,77.8,2.4
1.4,top,3752,11.1,0.2
1.4,ksoftirqd/0,0,5.6,0.0
1.5,Suricata-Main,47908,84.2,2.4
1.5,top,3768,15.8,0.2
1.5,ksoftirqd/0,0,10.5,0.0
1.6,Suricata-Main,47908,84.2,2.4
1.6,top,3788,10.5,0.2
1.6,ksoftirqd/0,0,5.3,0.0
1.7,Suricata-Main,47908,78.9,2.4
1.7,top,3704,15.8,0.2
1.7,ksoftirqd/0,0,10.5,0.0
1.8,Suricata-Main,47908,84.2,2.4
1.8,top,3760,15.8,0.2
1.8,ksoftirqd/0,0,5.3,0.0
