Time(s),COMMAND,RES,%CPU,%MEM
0.0,kworker/1:1-events,0,5.6,0.0
0.0,top,3740,5.6,0.2
0.0,systemd,12680,0.0,0.6
.1,top,3808,10.5,0.2
.1,Suricata-Main,45960,5.3,2.3
.1,systemd,12680,0.0,0.6
.2,Suricata-Main,45960,57.9,2.3
.2,top,3800,21.1,0.2
.2,ksoftirqd/1,0,10.5,0.0
.3,Suricata-Main,45960,81.0,2.3
.3,top,3804,23.8,0.2
.3,ksoftirqd/1,0,9.5,0.0
.4,Suricata-Main,45960,81.0,2.3
.4,top,3736,14.3,0.2
.4,ksoftirqd/1,0,9.5,0.0
.5,Suricata-Main,45960,90.0,2.3
.5,top,3772,15.0,0.2
.5,ksoftirqd/1,0,5.0,0.0
.6,Suricata-Main,45960,60.9,2.3
.6,top,3740,34.8,0.2
.6,ksoftirqd/1,0,8.7,0.0
.7,Suricata-Main,45960,81.8,2.3
.7,top,3772,22.7,0.2
.7,ksoftirqd/1,0,4.5,0.0
.8,Suricata-Main,45960,80.0,2.3
.8,top,3736,20.0,0.2
.8,ksoftirqd/1,0,10.0,0.0
.9,Suricata-Main,45960,66.7,2.3
.9,top,3744,14.3,0.2
.9,ksoftirqd/1,0,9.5,0.0
1.0,Suricata-Main,45960,81.8,2.3
1.0,top,3800,18.2,0.2
1.0,ksoftirqd/1,0,9.1,0.0
1.1,Suricata-Main,45960,78.3,2.3
1.1,top,3804,21.7,0.2
1.1,awk,3148,21.7,0.2
1.2,Suricata-Main,45960,70.0,2.3
1.2,top,3772,20.0,0.2
1.2,ksoftirqd/1,0,10.0,0.0
1.3,Suricata-Main,45960,70.0,2.3
1.3,ksoftirqd/1,0,15.0,0.0
1.3,top,3760,15.0,0.2
1.4,Suricata-Main,45960,70.0,2.3
1.4,top,3756,15.0,0.2
1.4,ksoftirqd/1,0,5.0,0.0
1.5,Suricata-Main,45960,77.3,2.3
1.5,top,3736,18.2,0.2
1.5,ksoftirqd/1,0,9.1,0.0
1.6,Suricata-Main,45960,75.0,2.3
1.6,top,3752,15.0,0.2
1.6,ksoftirqd/1,0,10.0,0.0
1.7,Suricata-Main,45960,80.0,2.3
1.7,top,3660,25.0,0.2
1.7,ksoftirqd/1,0,10.0,0.0
1.8,Suricata-Main,45960,76.2,2.3
1.8,top,3772,23.8,0.2
