Time(s),COMMAND,RES,%CPU,%MEM
0.0,top,3776,5.9,0.2
0.0,systemd,12348,0.0,0.6
0.0,kthreadd,0,0.0,0.0
.1,top,3736,11.1,0.2
.1,systemd,12348,0.0,0.6
.1,kthreadd,0,0.0,0.0
.2,top,3736,21.1,0.2
.2,ksoftirqd/1,0,5.3,0.0
.2,systemd,12348,0.0,0.6
.3,top,3624,14.6,0.2
.3,ksoftirqd/1,0,4.9,0.0
.3,systemd,12348,0.0,0.6
.4,top,3748,47.9,0.2
.4,ksoftirqd/1,0,4.2,0.0
.4,kworker/1:0-mm_percpu_wq,0,2.1,0.0
.5,top,3804,15.8,0.2
.5,ksoftirqd/1,0,5.3,0.0
.5,systemd,12348,0.0,0.6
.6,awk,3108,42.1,0.2
.6,top,3760,15.8,0.2
.6,ksoftirqd/1,0,5.3,0.0
.7,top,3688,25.7,0.2
.7,ksoftirqd/1,0,5.7,0.0
.7,systemd,12348,0.0,0.6
.8,top,3700,31.8,0.2
.8,ksoftirqd/1,0,2.3,0.0
.8,systemd,12348,0.0,0.6
.9,top,3788,28.9,0.2
.9,ksoftirqd/1,0,5.3,0.0
.9,systemd,12348,0.0,0.6
1.0,top,3620,31.4,0.2
1.0,ksoftirqd/1,0,2.9,0.0
1.0,systemd,12348,0.0,0.6
1.1,top,3800,8.3,0.2
1.1,ksoftirqd/1,0,5.6,0.0
1.1,systemd,12348,0.0,0.6
1.2,top,3612,15.8,0.2
1.2,systemd,12348,0.0,0.6
1.2,kthreadd,0,0.0,0.0
1.3,top,3772,14.3,0.2
1.3,ksoftirqd/0,0,4.8,0.0
1.3,head,1024,4.8,0.1
1.4,awk,3024,73.9,0.2
1.4,top,3760,13.0,0.2
1.4,rcu_sched,0,4.3,0.0
1.5,awk,1900,85.0,0.1
1.5,head,1092,20.0,0.1
1.5,top,3768,15.0,0.2
1.6,top,3800,21.1,0.2
1.6,ksoftirqd/1,0,5.3,0.0
1.6,systemd,12348,0.0,0.6
