Time(s),COMMAND,RES,%CPU,%MEM
0.0,top,3744,11.1,0.2
0.0,Suricata-Main,45788,5.6,2.3
0.0,systemd,12400,0.0,0.6
.1,top,3772,11.1,0.2
.1,rcu_sched,0,5.6,0.0
.1,systemd,12400,0.0,0.6
.2,ksoftirqd/0,0,63.2,0.0
.2,Suricata-Main,45788,57.9,2.3
.2,top,3704,15.8,0.2
.3,ksoftirqd/0,0,60.9,0.0
.3,Suricata-Main,45788,60.9,2.3
.3,top,3756,8.7,0.2
.4,ksoftirqd/0,0,90.9,0.0
.4,Suricata-Main,45788,59.1,2.3
.4,top,3628,13.6,0.2
.5,ksoftirqd/0,0,78.6,0.0
.5,Suricata-Main,45788,60.7,2.3
.5,top,3788,7.1,0.2
.6,ksoftirqd/0,0,84.0,0.0
.6,Suricata-Main,45788,60.0,2.3
.6,top,3696,8.0,0.2
.7,ksoftirqd/0,0,72.0,0.0
.7,Suricata-Main,45788,56.0,2.3
.7,top,3772,12.0,0.2
.8,ksoftirqd/0,0,78.9,0.0
.8,Suricata-Main,45788,63.2,2.3
.8,top,3632,15.8,0.2
.9,ksoftirqd/0,0,83.3,0.0
.9,Suricata-Main,45788,66.7,2.3
.9,top,3612,12.5,0.2
1.0,ksoftirqd/0,0,87.5,0.0
1.0,Suricata-Main,45788,58.3,2.3
1.0,top,3772,16.7,0.2
1.1,ksoftirqd/0,0,76.2,0.0
1.1,Suricata-Main,45788,71.4,2.3
1.1,top,3760,14.3,0.2
1.2,ksoftirqd/0,0,67.9,0.0
1.2,Suricata-Main,45788,57.1,2.3
1.2,top,3760,10.7,0.2
1.3,ksoftirqd/0,0,69.6,0.0
1.3,Suricata-Main,45788,65.2,2.3
1.3,top,3808,8.7,0.2
1.4,ksoftirqd/0,0,83.3,0.0
1.4,Suricata-Main,45788,54.2,2.3
1.4,top,3788,12.5,0.2
1.5,ksoftirqd/0,0,76.2,0.0
1.5,Suricata-Main,45788,66.7,2.3
1.5,top,3736,14.3,0.2
1.6,ksoftirqd/0,0,87.5,0.0
1.6,Suricata-Main,45788,66.7,2.3
1.6,top,3680,16.7,0.2
1.7,ksoftirqd/0,0,79.3,0.0
1.7,Suricata-Main,45788,48.3,2.3
1.7,top,3764,17.2,0.2
1.8,ksoftirqd/0,0,88.5,0.0
1.8,Suricata-Main,45788,69.2,2.3
1.8,top,3768,19.2,0.2
1.9,ksoftirqd/0,0,76.2,0.0
1.9,Suricata-Main,45788,71.4,2.3
1.9,top,3800,19.0,0.2
2.0,ksoftirqd/0,0,77.3,0.0
2.0,Suricata-Main,45788,68.2,2.3
2.0,top,3760,22.7,0.2
2.1,ksoftirqd/0,0,84.6,0.0
2.1,Suricata-Main,45788,57.7,2.3
2.1,top,3760,15.4,0.2
2.2,ksoftirqd/0,0,81.5,0.0
2.2,Suricata-Main,45788,59.3,2.3
2.2,top,3768,14.8,0.2
2.3,ksoftirqd/0,0,81.5,0.0
2.3,Suricata-Main,45788,55.6,2.3
2.3,top,3792,18.5,0.2
2.4,ksoftirqd/0,0,88.5,0.0
2.4,Suricata-Main,45788,50.0,2.3
2.4,top,3696,7.7,0.2
2.5,ksoftirqd/0,0,77.3,0.0
2.5,Suricata-Main,45788,59.1,2.3
2.5,top,3728,9.1,0.2
2.6,ksoftirqd/0,0,84.0,0.0
2.6,Suricata-Main,45788,56.0,2.3
2.6,top,3624,16.0,0.2
2.7,ksoftirqd/0,0,74.1,0.0
2.7,Suricata-Main,45788,55.6,2.3
2.7,top,3804,14.8,0.2
2.8,ksoftirqd/0,0,74.1,0.0
2.8,Suricata-Main,45788,51.9,2.3
2.8,top,3800,14.8,0.2
2.9,ksoftirqd/0,0,80.8,0.0
2.9,Suricata-Main,45788,57.7,2.3
2.9,top,3800,15.4,0.2
3.0,ksoftirqd/0,0,88.0,0.0
3.0,Suricata-Main,45788,52.0,2.3
3.0,top,3736,16.0,0.2
3.1,ksoftirqd/0,0,81.5,0.0
3.1,Suricata-Main,45788,48.1,2.3
3.1,top,3796,14.8,0.2
3.2,ksoftirqd/0,0,75.0,0.0
3.2,Suricata-Main,45788,66.7,2.3
3.2,top,3760,25.0,0.2
3.3,ksoftirqd/0,0,66.7,0.0
3.3,Suricata-Main,45788,54.2,2.3
3.3,top,3684,12.5,0.2
3.4,ksoftirqd/0,0,73.1,0.0
3.4,Suricata-Main,45788,50.0,2.3
3.4,top,3592,15.4,0.2
3.5,ksoftirqd/0,0,80.6,0.0
3.5,Suricata-Main,45788,54.8,2.3
3.5,top,3620,12.9,0.2
3.6,ksoftirqd/0,0,91.7,0.0
3.6,Suricata-Main,45788,58.3,2.3
3.6,top,3628,16.7,0.2
3.7,ksoftirqd/0,0,80.8,0.0
3.7,Suricata-Main,45788,57.7,2.3
3.7,top,3796,11.5,0.2
3.8,ksoftirqd/0,0,79.2,0.0
3.8,Suricata-Main,45788,66.7,2.3
3.8,top,3580,20.8,0.2
3.9,ksoftirqd/0,0,69.6,0.0
3.9,Suricata-Main,45788,65.2,2.3
3.9,top,3760,21.7,0.2
4.0,ksoftirqd/0,0,80.0,0.0
