Time(s),COMMAND,RES,%CPU,%MEM
0.0,top,3632,11.8,0.2
0.0,systemd,12400,0.0,0.6
0.0,kthreadd,0,0.0,0.0
.1,top,3712,11.1,0.2
.1,Suricata-Main,45788,5.6,2.3
.1,systemd,12400,0.0,0.6
.2,Suricata-Main,45788,88.9,2.3
.2,top,3776,16.7,0.2
.2,ksoftirqd/0,0,11.1,0.0
.3,Suricata-Main,45788,90.0,2.3
.3,top,3808,25.0,0.2
.3,awk,3124,15.0,0.2
.4,Suricata-Main,45788,84.2,2.3
.4,top,3776,15.8,0.2
.4,ksoftirqd/0,0,5.3,0.0
.5,Suricata-Main,45788,77.8,2.3
.5,top,3616,16.7,0.2
.5,awk,3068,16.7,0.2
.6,Suricata-Main,45788,89.5,2.3
.6,top,3824,15.8,0.2
.6,ksoftirqd/0,0,5.3,0.0
.7,Suricata-Main,45788,73.7,2.3
.7,awk,3096,21.1,0.2
.7,top,3752,15.8,0.2
.8,Suricata-Main,45788,88.9,2.3
.8,top,3748,16.7,0.2
.8,systemd,12400,0.0,0.6
.9,Suricata-Main,45788,84.2,2.3
.9,top,3800,31.6,0.2
.9,ksoftirqd/0,0,5.3,0.0
1.0,Suricata-Main,45788,84.2,2.3
1.0,top,3812,15.8,0.2
1.0,ksoftirqd/0,0,5.3,0.0
1.1,Suricata-Main,45788,73.7,2.3
1.1,awk,3164,21.1,0.2
1.1,top,3772,10.5,0.2
1.2,Suricata-Main,45788,84.2,2.3
1.2,top,3628,10.5,0.2
1.2,ksoftirqd/0,0,5.3,0.0
1.3,Suricata-Main,45788,73.7,2.3
1.3,top,3740,10.5,0.2
1.3,ksoftirqd/0,0,5.3,0.0
1.4,Suricata-Main,45788,100.0,2.3
1.4,top,3768,42.1,0.2
1.4,ksoftirqd/0,0,5.3,0.0
1.5,Suricata-Main,45788,80.0,2.3
1.5,top,3616,15.0,0.2
1.5,head,1024,10.0,0.1
1.6,Suricata-Main,45788,84.2,2.3
1.6,top,3872,15.8,0.2
1.6,ksoftirqd/0,0,10.5,0.0
1.7,Suricata-Main,45788,84.2,2.3
1.7,top,3740,26.3,0.2
1.7,ksoftirqd/0,0,10.5,0.0
1.8,Suricata-Main,45788,75.0,2.3
1.8,top,3752,20.0,0.2
1.8,ksoftirqd/0,0,10.0,0.0
1.9,Suricata-Main,45788,76.2,2.3
1.9,top,3680,14.3,0.2
1.9,awk,3108,14.3,0.2
2.0,Suricata-Main,45788,61.9,2.3
2.0,awk,2936,23.8,0.1
2.0,top,3756,19.0,0.2
2.1,Suricata-Main,45788,75.0,2.3
2.1,top,3752,15.0,0.2
2.1,head,1048,10.0,0.1
2.2,Suricata-Main,45788,147.4,2.3
2.2,top,3744,78.9,0.2
2.2,ksoftirqd/0,0,10.5,0.0
2.3,Suricata-Main,45788,89.5,2.3
2.3,top,3784,21.1,0.2
2.3,ksoftirqd/0,0,5.3,0.0
2.4,Suricata-Main,45788,104.8,2.3
2.4,top,3768,57.1,0.2
2.4,ksoftirqd/0,0,4.8,0.0
2.5,Suricata-Main,45788,68.4,2.3
2.5,top,3736,15.8,0.2
2.5,ksoftirqd/0,0,5.3,0.0
2.6,Suricata-Main,45788,68.4,2.3
2.6,top,3676,15.8,0.2
2.6,ksoftirqd/0,0,5.3,0.0
2.7,Suricata-Main,45788,65.0,2.3
2.7,awk,3148,25.0,0.2
2.7,top,3812,15.0,0.2
2.8,Suricata-Main,45788,73.7,2.3
2.8,top,3776,15.8,0.2
2.8,ksoftirqd/0,0,5.3,0.0
2.9,Suricata-Main,45788,78.9,2.3
2.9,top,3620,31.6,0.2
2.9,ksoftirqd/0,0,5.3,0.0
3.0,Suricata-Main,45788,89.5,2.3
3.0,top,3800,21.1,0.2
3.0,ksoftirqd/0,0,10.5,0.0
3.1,Suricata-Main,45788,68.4,2.3
3.1,top,3768,31.6,0.2
3.1,ksoftirqd/0,0,15.8,0.0
3.2,Suricata-Main,45788,47.4,2.3
3.2,top,3740,15.8,0.2
3.2,ksoftirqd/0,0,10.5,0.0
3.3,Suricata-Main,45788,84.2,2.3
3.3,top,3872,21.1,0.2
3.3,ksoftirqd/0,0,5.3,0.0
3.4,Suricata-Main,45788,68.4,2.3
3.4,top,3632,21.1,0.2
3.4,ksoftirqd/0,0,10.5,0.0
3.5,Suricata-Main,45788,80.0,2.3
3.5,top,3688,15.0,0.2
3.5,ksoftirqd/0,0,10.0,0.0
3.6,Suricata-Main,45788,78.9,2.3
3.6,top,3768,21.1,0.2
3.6,ksoftirqd/0,0,10.5,0.0
3.7,Suricata-Main,45788,80.0,2.3
3.7,top,3756,20.0,0.2
3.7,ksoftirqd/0,0,5.0,0.0
3.8,Suricata-Main,45788,85.0,2.3
3.8,top,3776,15.0,0.2
3.8,ksoftirqd/0,0,10.0,0.0
3.9,Suricata-Main,45788,80.0,2.3
3.9,top,3788,15.0,0.2
3.9,ksoftirqd/0,0,5.0,0.0
4.0,Suricata-Main,45788,85.0,2.3
4.0,top,3568,20.0,0.2
4.0,head,1024,10.0,0.1
4.1,Suricata-Main,45788,89.5,2.3
4.1,top,3796,15.8,0.2
4.1,ksoftirqd/0,0,10.5,0.0
4.2,Suricata-Main,45788,55.2,2.3
4.2,top,3600,10.3,0.2
4.2,ksoftirqd/0,0,3.4,0.0
4.3,Suricata-Main,45788,71.4,2.3
4.3,top,3772,14.3,0.2
4.3,ksoftirqd/0,0,9.5,0.0
4.4,Suricata-Main,45788,84.2,2.3
4.4,top,3768,26.3,0.2
4.4,ksoftirqd/0,0,10.5,0.0
4.5,Suricata-Main,45788,81.0,2.3
4.5,top,3600,14.3,0.2
4.5,ksoftirqd/0,0,9.5,0.0
4.6,Suricata-Main,45788,89.5,2.3
4.6,top,3780,21.1,0.2
4.6,ksoftirqd/0,0,5.3,0.0
4.7,Suricata-Main,45788,78.9,2.3
4.7,top,3732,21.1,0.2
4.7,ksoftirqd/0,0,10.5,0.0
4.8,Suricata-Main,45788,70.0,2.3
4.8,top,3780,20.0,0.2
4.8,ksoftirqd/0,0,5.0,0.0
4.9,Suricata-Main,45788,89.5,2.3
4.9,top,3744,15.8,0.2
4.9,ksoftirqd/0,0,5.3,0.0
5.0,Suricata-Main,45788,75.0,2.3
5.0,awk,3136,35.0,0.2
5.0,top,3600,25.0,0.2
5.1,Suricata-Main,45788,76.2,2.3
5.1,top,3872,14.3,0.2
5.1,ksoftirqd/0,0,4.8,0.0
5.2,Suricata-Main,45788,70.0,2.3
5.2,awk,2972,40.0,0.1
5.2,top,3736,15.0,0.2
5.3,Suricata-Main,45788,80.0,2.3
5.3,top,3760,20.0,0.2
5.3,ksoftirqd/0,0,10.0,0.0
5.4,Suricata-Main,45788,100.0,2.3
5.4,top,3768,30.0,0.2
5.4,ksoftirqd/0,0,10.0,0.0
5.5,Suricata-Main,45788,78.9,2.3
5.5,ksoftirqd/0,0,10.5,0.0
5.5,top,3696,10.5,0.2
5.6,Suricata-Main,45788,85.0,2.3
5.6,awk,3140,25.0,0.2
5.6,top,3716,20.0,0.2
5.7,Suricata-Main,45788,95.0,2.3
5.7,top,3768,35.0,0.2
5.7,ksoftirqd/0,0,10.0,0.0
5.8,Suricata-Main,45788,70.0,2.3
5.8,top,3772,15.0,0.2
5.8,ksoftirqd/0,0,5.0,0.0
5.9,Suricata-Main,45788,85.7,2.3
5.9,top,3872,23.8,0.2
5.9,ksoftirqd/0,0,4.8,0.0
6.0,Suricata-Main,45788,70.0,2.3
6.0,top,3748,15.0,0.2
6.0,ksoftirqd/0,0,5.0,0.0
6.1,Suricata-Main,45788,78.9,2.3
6.1,awk,3156,31.6,0.2
6.1,top,3756,15.8,0.2
6.2,Suricata-Main,45788,78.9,2.3
6.2,top,3792,21.1,0.2
6.2,ksoftirqd/0,0,5.3,0.0
6.3,Suricata-Main,45788,65.0,2.3
6.3,top,3812,20.0,0.2
6.3,head,1044,15.0,0.1
6.4,Suricata-Main,45788,66.7,2.3
6.4,top,3616,12.5,0.2
6.4,ksoftirqd/0,0,4.2,0.0
6.5,Suricata-Main,45788,80.0,2.3
6.5,top,3812,20.0,0.2
6.5,ksoftirqd/0,0,10.0,0.0
6.6,Suricata-Main,45788,85.0,2.3
6.6,top,3756,15.0,0.2
6.6,ksoftirqd/0,0,10.0,0.0
6.7,Suricata-Main,45788,85.0,2.3
6.7,top,3736,20.0,0.2
6.7,ksoftirqd/0,0,10.0,0.0
6.8,Suricata-Main,45788,76.2,2.3
6.8,top,3768,14.3,0.2
6.8,awk,3120,9.5,0.2
6.9,Suricata-Main,45788,66.7,2.3
6.9,top,3772,12.5,0.2
6.9,ksoftirqd/0,0,8.3,0.0
7.0,Suricata-Main,45788,72.7,2.3
7.0,top,3752,13.6,0.2
7.0,ksoftirqd/0,0,9.1,0.0
7.1,Suricata-Main,45788,47.4,2.3
7.1,top,3804,21.1,0.2
7.1,ksoftirqd/0,0,10.5,0.0
7.2,Suricata-Main,45788,50.0,2.3
7.2,awk,3136,25.0,0.2
7.2,ksoftirqd/0,0,15.0,0.0
7.3,Suricata-Main,45788,90.0,2.3
7.3,top,3740,20.0,0.2
7.3,ksoftirqd/0,0,10.0,0.0
7.4,Suricata-Main,45788,76.2,2.3
