Time(s),COMMAND,RES,%CPU,%MEM
0.0,top,3632,5.9,0.2
0.0,systemd,12348,0.0,0.6
0.0,kthreadd,0,0.0,0.0
.1,top,3808,84.2,0.2
.1,systemd,12348,0.0,0.6
.1,kthreadd,0,0.0,0.0
.2,top,3812,18.4,0.2
.2,ksoftirqd/0,0,2.6,0.0
.2,systemd,12348,0.0,0.6
.3,head,1016,26.3,0.1
.3,awk,3124,21.1,0.2
.3,top,3620,10.5,0.2
.4,top,3628,10.0,0.2
.4,ksoftirqd/0,0,3.3,0.0
.4,systemd,12348,0.0,0.6
.5,head,1040,31.6,0.1
.5,top,3800,21.1,0.2
.5,awk,3124,21.1,0.2
.6,top,3800,14.3,0.2
.6,ksoftirqd/0,0,4.8,0.0
.6,rcu_sched,0,4.8,0.0
.7,top,3756,21.4,0.2
.7,systemd-network,7360,3.6,0.4
.7,systemd,12348,0.0,0.6
.8,top,3628,51.9,0.2
.8,ksoftirqd/0,0,3.7,0.0
.8,rcu_sched,0,3.7,0.0
.9,top,3788,39.4,0.2
.9,ksoftirqd/0,0,3.0,0.0
.9,rcu_sched,0,3.0,0.0
1.0,top,3756,46.9,0.2
1.0,ksoftirqd/0,0,3.1,0.0
1.0,kworker/u4:1-writeback,0,3.1,0.0
1.1,top,3636,12.9,0.2
1.1,ksoftirqd/0,0,3.2,0.0
1.1,systemd,12348,0.0,0.6
1.2,top,3756,10.0,0.2
1.2,ksoftirqd/0,0,5.0,0.0
1.2,systemd,12348,0.0,0.6
1.3,top,3748,13.6,0.2
1.3,systemd,12348,0.0,0.6
1.3,kthreadd,0,0.0,0.0
1.4,top,3804,35.5,0.2
1.4,ksoftirqd/0,0,3.2,0.0
1.4,systemd,12348,0.0,0.6
1.5,top,3756,33.3,0.2
1.5,ksoftirqd/0,0,3.3,0.0
1.5,systemd,12348,0.0,0.6
1.6,top,3788,20.0,0.2
1.6,systemd,12348,0.0,0.6
1.6,kthreadd,0,0.0,0.0
1.7,awk,3036,45.5,0.2
1.7,top,3756,13.6,0.2
1.7,ksoftirqd/0,0,4.5,0.0
1.8,awk,3164,45.0,0.2
1.8,top,3800,25.0,0.2
1.8,ksoftirqd/0,0,5.0,0.0
1.9,top,3680,15.4,0.2
1.9,ksoftirqd/0,0,3.8,0.0
1.9,systemd,12348,0.0,0.6
2.0,top,3868,35.5,0.2
2.0,rcu_sched,0,3.2,0.0
2.0,systemd,12348,0.0,0.6
2.1,awk,3120,36.4,0.2
2.1,top,3752,18.2,0.2
