Time(s),COMMAND,RES,%CPU,%MEM
0.0,top,3704,5.9,0.2
0.0,systemd,12348,0.0,0.6
0.0,kthreadd,0,0.0,0.0
.1,top,3808,11.8,0.2
.1,systemd,12348,0.0,0.6
.1,kthreadd,0,0.0,0.0
.2,top,3772,11.1,0.2
.2,systemd,12348,0.0,0.6
.2,kthreadd,0,0.0,0.0
.3,top,3760,15.8,0.2
.3,awk,3120,10.5,0.2
.3,systemd,12348,0.0,0.6
.4,top,3748,11.1,0.2
.4,awk,3108,11.1,0.2
.4,systemd,12348,0.0,0.6
.5,top,3800,22.7,0.2
.5,systemd,12348,0.0,0.6
.5,kthreadd,0,0.0,0.0
.6,top,3780,19.0,0.2
.6,rcu_sched,0,4.8,0.0
.6,systemd,12348,0.0,0.6
.7,top,3764,16.7,0.2
.7,awk,3128,5.6,0.2
.7,systemd,12348,0.0,0.6
.8,top,3620,19.0,0.2
.8,systemd,12348,0.0,0.6
.8,kthreadd,0,0.0,0.0
.9,top,3756,23.8,0.2
.9,rcu_sched,0,4.8,0.0
.9,systemd,12348,0.0,0.6
1.0,top,3572,18.2,0.2
1.0,systemd,12348,0.0,0.6
1.0,kthreadd,0,0.0,0.0
1.1,top,3612,18.2,0.2
1.1,systemd,12348,0.0,0.6
1.1,kthreadd,0,0.0,0.0
1.2,top,3768,20.0,0.2
1.2,rcu_sched,0,5.0,0.0
1.2,systemd,12348,0.0,0.6
1.3,top,3612,15.8,0.2
1.3,head,1056,10.5,0.1
1.3,awk,3140,5.3,0.2
1.4,top,3720,22.7,0.2
1.4,systemd,12348,0.0,0.6
1.4,kthreadd,0,0.0,0.0
1.5,top,3748,18.2,0.2
1.5,systemd,12348,0.0,0.6
1.5,kthreadd,0,0.0,0.0
1.6,top,3744,28.6,0.2
1.6,ksoftirqd/0,0,4.8,0.0
1.6,systemd,12348,0.0,0.6
1.7,top,3720,23.8,0.2
1.7,systemd,12348,0.0,0.6
1.7,kthreadd,0,0.0,0.0
1.8,top,3800,11.1,0.2
1.8,head,1036,11.1,0.1
1.8,awk,2940,5.6,0.1
1.9,top,3772,19.0,0.2
1.9,systemd,12348,0.0,0.6
1.9,kthreadd,0,0.0,0.0
2.0,awk,3096,10.5,0.2
2.0,top,3756,5.3,0.2
2.0,systemd,12348,0.0,0.6
2.1,top,3784,20.8,0.2
2.1,ksoftirqd/1,0,4.2,0.0
2.1,packagekitd,15476,4.2,0.8
2.2,top,3620,21.1,0.2
2.2,awk,3096,21.1,0.2
2.2,ksoftirqd/0,0,5.3,0.0
2.3,awk,3180,19.0,0.2
2.3,top,3692,14.3,0.2
2.3,head,1016,4.8,0.1
2.4,top,3764,15.8,0.2
2.4,rcu_sched,0,5.3,0.0
2.4,multipathd,27240,5.3,1.4
2.5,awk,3112,25.0,0.2
2.5,top,3756,20.0,0.2
2.5,systemd,12348,0.0,0.6
2.6,top,3740,21.7,0.2
2.6,systemd,12348,0.0,0.6
2.6,kthreadd,0,0.0,0.0
2.7,top,3684,31.8,0.2
2.7,systemd,12348,0.0,0.6
2.7,kthreadd,0,0.0,0.0
2.8,top,3768,25.0,0.2
2.8,awk,2944,20.0,0.1
2.8,systemd,12348,0.0,0.6
2.9,top,3800,26.1,0.2
2.9,systemd,12348,0.0,0.6
2.9,kthreadd,0,0.0,0.0
3.0,awk,3168,26.3,0.2
3.0,top,3800,15.8,0.2
3.0,systemd,12348,0.0,0.6
3.1,awk,3072,20.0,0.2
3.1,top,3768,15.0,0.2
3.1,rcu_sched,0,5.0,0.0
3.2,top,3632,27.3,0.2
3.2,systemd,12348,0.0,0.6
3.2,kthreadd,0,0.0,0.0
3.3,top,3764,21.7,0.2
3.3,systemd,12348,0.0,0.6
3.3,kthreadd,0,0.0,0.0
3.4,top,3760,18.2,0.2
3.4,systemd,12348,0.0,0.6
3.4,kthreadd,0,0.0,0.0
3.5,top,3776,30.4,0.2
3.5,systemd,12348,0.0,0.6
3.5,kthreadd,0,0.0,0.0
3.6,awk,3124,15.8,0.2
3.6,top,3752,10.5,0.2
3.6,systemd,12348,0.0,0.6
3.7,top,3568,17.4,0.2
3.7,systemd,12348,0.0,0.6
3.7,kthreadd,0,0.0,0.0
3.8,top,3676,20.0,0.2
3.8,awk,3168,15.0,0.2
3.8,rcu_sched,0,5.0,0.0
3.9,awk,3116,26.3,0.2
3.9,top,3752,15.8,0.2
3.9,ksoftirqd/0,0,5.3,0.0
4.0,top,3804,22.7,0.2
4.0,systemd,12348,0.0,0.6
4.0,kthreadd,0,0.0,0.0
4.1,top,3804,18.2,0.2
4.1,ksoftirqd/0,0,4.5,0.0
4.1,systemd,12348,0.0,0.6
4.2,top,3580,23.8,0.2
4.2,ksoftirqd/0,0,4.8,0.0
4.2,kworker/u4:1-events_power_efficient,0,4.8,0.0
4.3,top,3796,15.0,0.2
4.3,awk,3124,5.0,0.2
4.3,systemd,12348,0.0,0.6
4.4,top,3632,21.7,0.2
4.4,systemd,12348,0.0,0.6
4.4,kthreadd,0,0.0,0.0
4.5,top,3692,31.8,0.2
4.5,systemd,12348,0.0,0.6
4.5,kthreadd,0,0.0,0.0
4.6,awk,3108,26.3,0.2
4.6,top,3868,15.8,0.2
4.6,systemd,12348,0.0,0.6
4.7,top,3752,15.8,0.2
4.7,awk,3124,10.5,0.2
4.7,head,1016,5.3,0.1
4.8,top,3796,27.3,0.2
4.8,systemd,12348,0.0,0.6
4.8,kthreadd,0,0.0,0.0
4.9,top,3808,31.8,0.2
4.9,systemd,12348,0.0,0.6
4.9,kthreadd,0,0.0,0.0
5.0,top,3796,15.8,0.2
5.0,awk,3064,15.8,0.2
5.0,head,1004,5.3,0.0
5.1,top,3756,10.5,0.2
5.1,awk,3112,10.5,0.2
5.1,irqbalance,3588,5.3,0.2
5.2,top,3760,26.1,0.2
5.2,systemd,12348,0.0,0.6
5.2,kthreadd,0,0.0,0.0
5.3,top,3736,26.1,0.2
5.3,systemd,12348,0.0,0.6
5.3,kthreadd,0,0.0,0.0
5.4,top,3696,29.2,0.2
5.4,ksoftirqd/0,0,4.2,0.0
5.4,systemd,12348,0.0,0.6
5.5,top,3744,26.1,0.2
5.5,ksoftirqd/0,0,4.3,0.0
5.5,systemd,12348,0.0,0.6
5.6,top,3764,27.3,0.2
5.6,systemd,12348,0.0,0.6
5.6,kthreadd,0,0.0,0.0
5.7,top,3748,29.2,0.2
5.7,rcu_sched,0,4.2,0.0
5.7,systemd,12348,0.0,0.6
5.8,top,3808,20.0,0.2
5.8,awk,3144,10.0,0.2
5.8,ksoftirqd/1,0,5.0,0.0
5.9,top,3776,22.7,0.2
5.9,ksoftirqd/0,0,4.5,0.0
5.9,systemd,12348,0.0,0.6
6.0,top,3796,22.7,0.2
6.0,systemd,12348,0.0,0.6
6.0,kthreadd,0,0.0,0.0
6.1,top,3644,29.2,0.2
6.1,ksoftirqd/0,0,4.2,0.0
6.1,systemd,12348,0.0,0.6
6.2,top,3740,30.4,0.2
6.2,ksoftirqd/0,0,4.3,0.0
6.2,systemd,12348,0.0,0.6
6.3,top,3804,20.0,0.2
6.3,awk,3092,15.0,0.2
6.3,kworker/1:0-events,0,5.0,0.0
6.4,top,3800,27.3,0.2
6.4,ksoftirqd/0,0,4.5,0.0
6.4,systemd,12348,0.0,0.6
6.5,top,3768,15.8,0.2
6.5,systemd,12348,0.0,0.6
6.5,kthreadd,0,0.0,0.0
6.6,top,3772,22.7,0.2
6.6,rcu_sched,0,4.5,0.0
6.6,systemd,12348,0.0,0.6
6.7,top,3776,21.1,0.2
6.7,awk,3144,15.8,0.2
6.7,head,1052,10.5,0.1
6.8,top,3796,20.8,0.2
6.8,systemd,12348,0.0,0.6
6.8,kthreadd,0,0.0,0.0
6.9,top,3772,21.1,0.2
6.9,awk,3116,15.8,0.2
6.9,head,1024,5.3,0.1
7.0,top,3764,10.5,0.2
