Time(s),COMMAND,RES,%CPU,%MEM
0.0,top,3584,5.9,0.2
0.0,systemd,12680,0.0,0.6
0.0,kthreadd,0,0.0,0.0
.1,top,3592,11.8,0.2
.1,systemd,12680,0.0,0.6
.1,kthreadd,0,0.0,0.0
.2,top,3688,11.1,0.2
.2,systemd,12680,0.0,0.6
.2,kthreadd,0,0.0,0.0
.3,top,3692,16.7,0.2
.3,systemd,12680,0.0,0.6
.3,kthreadd,0,0.0,0.0
.4,top,3804,16.7,0.2
.4,Suricata-Main,45960,5.6,2.3
.4,systemd,12680,0.0,0.6
.5,top,3756,11.1,0.2
.5,Suricata-Main,45960,5.6,2.3
.5,systemd,12680,0.0,0.6
.6,Suricata-Main,45960,11.1,2.3
.6,top,3764,5.6,0.2
.6,systemd,12680,0.0,0.6
.7,top,3680,11.1,0.2
.7,systemd,12680,0.0,0.6
.7,kthreadd,0,0.0,0.0
.8,top,3760,5.6,0.2
.8,systemd,12680,0.0,0.6
.8,kthreadd,0,0.0,0.0
.9,Suricata-Main,45960,10.5,2.3
.9,top,3632,10.5,0.2
.9,systemd,12680,0.0,0.6
1.0,top,3804,11.1,0.2
1.0,systemd,12680,0.0,0.6
1.0,kthreadd,0,0.0,0.0
1.1,top,3804,16.7,0.2
1.1,systemd,12680,0.0,0.6
1.1,kthreadd,0,0.0,0.0
1.2,top,3812,16.7,0.2
1.2,Suricata-Main,45960,11.1,2.3
1.2,systemd,12680,0.0,0.6
1.3,top,3616,11.1,0.2
1.3,rcu_sched,0,5.6,0.0
1.3,Suricata-Main,45960,5.6,2.3
1.4,Suricata-Main,45960,11.1,2.3
1.4,top,3676,5.6,0.2
1.4,systemd,12680,0.0,0.6
1.5,top,3808,16.7,0.2
1.5,Suricata-Main,45960,11.1,2.3
1.5,systemd,12680,0.0,0.6
1.6,top,3868,10.5,0.2
1.6,ksoftirqd/1,0,5.3,0.0
1.6,Suricata-Main,45960,5.3,2.3
1.7,top,3616,5.3,0.2
1.7,systemd,12680,0.0,0.6
1.7,kthreadd,0,0.0,0.0
1.8,top,3764,11.1,0.2
1.8,awk,3160,5.6,0.2
1.8,systemd,12680,0.0,0.6
1.9,top,3764,11.1,0.2
1.9,systemd,12680,0.0,0.6
1.9,kthreadd,0,0.0,0.0
2.0,top,3772,11.1,0.2
2.0,Suricata-Main,45960,5.6,2.3
2.0,systemd,12680,0.0,0.6
2.1,top,3680,9.5,0.2
2.1,systemd,12680,0.0,0.6
2.1,kthreadd,0,0.0,0.0
2.2,Suricata-Main,45960,11.1,2.3
2.2,top,3676,11.1,0.2
2.2,systemd,12680,0.0,0.6
2.3,top,3804,11.1,0.2
2.3,systemd,12680,0.0,0.6
2.3,kthreadd,0,0.0,0.0
2.4,Suricata-Main,45960,5.6,2.3
2.4,top,3752,5.6,0.2
2.4,systemd,12680,0.0,0.6
2.5,top,3752,11.1,0.2
2.5,systemd,12680,0.0,0.6
2.5,kthreadd,0,0.0,0.0
2.6,top,3760,11.1,0.2
2.6,Suricata-Main,45960,5.6,2.3
2.6,systemd,12680,0.0,0.6
2.7,top,3800,11.1,0.2
2.7,rcu_sched,0,5.6,0.0
2.7,Suricata-Main,45960,5.6,2.3
2.8,top,3752,11.1,0.2
2.8,systemd,12680,0.0,0.6
2.8,kthreadd,0,0.0,0.0
2.9,top,3696,11.1,0.2
2.9,systemd,12680,0.0,0.6
2.9,kthreadd,0,0.0,0.0
3.0,top,3620,15.8,0.2
3.0,Suricata-Main,45960,5.3,2.3
3.0,systemd,12680,0.0,0.6
3.1,Suricata-Main,45960,11.1,2.3
3.1,top,3772,11.1,0.2
3.1,systemd,12680,0.0,0.6
3.2,top,3624,9.5,0.2
3.2,kworker/0:1-mm_percpu_wq,0,4.8,0.0
3.2,awk,3156,4.8,0.2
3.3,top,3812,16.7,0.2
3.3,Suricata-Main,45960,11.1,2.3
3.3,systemd,12680,0.0,0.6
3.4,top,3760,11.1,0.2
3.4,Suricata-Main,45960,5.6,2.3
3.4,systemd,12680,0.0,0.6
