Time(s),COMMAND,RES,%CPU,%MEM
0.0,top,3708,11.1,0.2
0.0,Suricata-Main,45960,5.6,2.3
0.0,systemd,12680,0.0,0.6
.1,top,3636,5.6,0.2
.1,systemd,12680,0.0,0.6
.1,kthreadd,0,0.0,0.0
.2,top,3764,11.1,0.2
.2,systemd,12680,0.0,0.6
.2,kthreadd,0,0.0,0.0
.3,top,3768,11.1,0.2
.3,systemd,12680,0.0,0.6
.3,kthreadd,0,0.0,0.0
.4,top,3744,11.1,0.2
.4,systemd,12680,0.0,0.6
.4,kthreadd,0,0.0,0.0
.5,top,3764,11.1,0.2
.5,Suricata-Main,45960,5.6,2.3
.5,systemd,12680,0.0,0.6
.6,top,3772,11.1,0.2
.6,Suricata-Main,45960,5.6,2.3
.6,systemd,12680,0.0,0.6
.7,top,3800,11.1,0.2
.7,rcu_sched,0,5.6,0.0
.7,Suricata-Main,45960,5.6,2.3
.8,top,3780,11.1,0.2
.8,systemd,12680,0.0,0.6
.8,kthreadd,0,0.0,0.0
.9,Suricata-Main,45960,11.1,2.3
.9,top,3756,11.1,0.2
.9,systemd,12680,0.0,0.6
1.0,top,3804,11.8,0.2
1.0,systemd,12680,0.0,0.6
1.0,kthreadd,0,0.0,0.0
1.1,ksoftirqd/1,0,71.4,0.0
1.1,Suricata-Main,45960,52.4,2.3
1.1,top,3740,19.0,0.2
1.2,ksoftirqd/1,0,80.8,0.0
1.2,Suricata-Main,45960,57.7,2.3
1.2,top,3752,15.4,0.2
1.3,ksoftirqd/1,0,70.4,0.0
1.3,Suricata-Main,45960,44.4,2.3
1.3,top,3788,14.8,0.2
1.4,ksoftirqd/1,0,75.0,0.0
1.4,Suricata-Main,45960,60.0,2.3
1.4,top,3696,20.0,0.2
1.5,ksoftirqd/1,0,73.1,0.0
1.5,Suricata-Main,45960,50.0,2.3
1.5,top,3872,15.4,0.2
1.6,ksoftirqd/1,0,70.0,0.0
1.6,Suricata-Main,45960,43.3,2.3
1.6,top,3628,10.0,0.2
1.7,ksoftirqd/1,0,80.8,0.0
1.7,Suricata-Main,45960,53.8,2.3
1.7,top,3704,15.4,0.2
1.8,ksoftirqd/1,0,82.1,0.0
1.8,Suricata-Main,45960,53.6,2.3
1.8,top,3684,17.9,0.2
1.9,ksoftirqd/1,0,71.4,0.0
1.9,Suricata-Main,45960,57.1,2.3
1.9,top,3804,14.3,0.2
2.0,ksoftirqd/1,0,76.9,0.0
2.0,Suricata-Main,45960,46.2,2.3
2.0,top,3700,19.2,0.2
2.1,ksoftirqd/1,0,80.0,0.0
2.1,Suricata-Main,45960,60.0,2.3
2.1,top,3764,20.0,0.2
2.2,ksoftirqd/1,0,81.5,0.0
2.2,Suricata-Main,45960,55.6,2.3
2.2,top,3760,18.5,0.2
2.3,ksoftirqd/1,0,79.2,0.0
2.3,Suricata-Main,45960,58.3,2.3
2.3,top,3844,20.8,0.2
2.4,ksoftirqd/1,0,90.0,0.0
2.4,Suricata-Main,45960,80.0,2.3
2.4,top,3780,20.0,0.2
2.5,ksoftirqd/1,0,76.9,0.0
2.5,Suricata-Main,45960,53.8,2.3
2.5,top,3876,15.4,0.2
2.6,ksoftirqd/1,0,78.6,0.0
2.6,Suricata-Main,45960,53.6,2.3
2.6,top,3796,17.9,0.2
2.7,ksoftirqd/1,0,76.0,0.0
2.7,Suricata-Main,45960,52.0,2.3
2.7,top,3752,12.0,0.2
2.8,ksoftirqd/1,0,71.0,0.0
2.8,Suricata-Main,45960,41.9,2.3
2.8,top,3628,12.9,0.2
2.9,ksoftirqd/1,0,68.0,0.0
2.9,Suricata-Main,45960,52.0,2.3
2.9,top,3748,12.0,0.2
3.0,ksoftirqd/1,0,77.3,0.0
3.0,Suricata-Main,45960,63.6,2.3
3.0,top,3804,18.2,0.2
3.1,ksoftirqd/1,0,80.8,0.0
3.1,Suricata-Main,45960,46.2,2.3
3.1,top,3768,15.4,0.2
3.2,ksoftirqd/1,0,75.0,0.0
3.2,Suricata-Main,45960,70.0,2.3
3.2,top,3772,20.0,0.2
3.3,ksoftirqd/1,0,80.8,0.0
3.3,Suricata-Main,45960,53.8,2.3
3.3,top,3804,11.5,0.2
3.4,ksoftirqd/1,0,91.3,0.0
3.4,Suricata-Main,45960,56.5,2.3
3.4,top,3716,17.4,0.2
3.5,ksoftirqd/1,0,85.2,0.0
3.5,Suricata-Main,45960,48.1,2.3
3.5,top,3700,18.5,0.2
3.6,ksoftirqd/1,0,75.0,0.0
3.6,Suricata-Main,45960,40.6,2.3
3.6,top,3748,15.6,0.2
3.7,ksoftirqd/1,0,76.9,0.0
3.7,Suricata-Main,45960,46.2,2.3
3.7,top,3620,15.4,0.2
3.8,ksoftirqd/1,0,88.9,0.0
3.8,Suricata-Main,45960,44.4,2.3
3.8,top,3808,14.8,0.2
3.9,ksoftirqd/1,0,69.6,0.0
3.9,Suricata-Main,45960,65.2,2.3
3.9,top,3780,17.4,0.2
4.0,ksoftirqd/1,0,77.8,0.0
4.0,Suricata-Main,45960,48.1,2.3
4.0,top,3764,14.8,0.2
4.1,ksoftirqd/1,0,73.1,0.0
4.1,Suricata-Main,45960,46.2,2.3
4.1,top,3808,11.5,0.2
4.2,ksoftirqd/1,0,74.1,0.0
4.2,Suricata-Main,45960,48.1,2.3
4.2,top,3704,14.8,0.2
4.3,ksoftirqd/1,0,79.2,0.0
4.3,Suricata-Main,45960,50.0,2.3
4.3,top,3800,16.7,0.2
4.4,ksoftirqd/1,0,78.6,0.0
4.4,Suricata-Main,45960,46.4,2.3
4.4,top,3724,14.3,0.2
4.5,ksoftirqd/1,0,78.6,0.0
4.5,Suricata-Main,45960,50.0,2.3
4.5,top,3868,17.9,0.2
4.6,ksoftirqd/1,0,81.8,0.0
4.6,Suricata-Main,45960,54.5,2.3
4.6,top,3736,22.7,0.2
4.7,ksoftirqd/1,0,80.8,0.0
4.7,Suricata-Main,45960,50.0,2.3
4.7,top,3684,19.2,0.2
4.8,ksoftirqd/1,0,84.0,0.0
4.8,Suricata-Main,45960,44.0,2.3
4.8,top,3768,16.0,0.2
4.9,ksoftirqd/1,0,76.9,0.0
4.9,Suricata-Main,45960,57.7,2.3
4.9,top,3764,15.4,0.2
5.0,ksoftirqd/1,0,68.0,0.0
5.0,Suricata-Main,45960,52.0,2.3
5.0,top,3744,16.0,0.2
5.1,ksoftirqd/1,0,63.0,0.0
5.1,Suricata-Main,45960,48.1,2.3
5.1,top,3612,14.8,0.2
5.2,ksoftirqd/1,0,77.8,0.0
5.2,Suricata-Main,45960,59.3,2.3
5.2,top,3612,18.5,0.2
5.3,ksoftirqd/1,0,79.2,0.0
5.3,Suricata-Main,45960,58.3,2.3
5.3,top,3768,16.7,0.2
5.4,ksoftirqd/1,0,76.9,0.0
5.4,Suricata-Main,45960,50.0,2.3
5.4,top,3748,15.4,0.2
5.5,ksoftirqd/1,0,88.0,0.0
5.5,Suricata-Main,45960,56.0,2.3
5.5,top,3768,12.0,0.2
5.6,ksoftirqd/1,0,70.4,0.0
5.6,Suricata-Main,45960,37.0,2.3
5.6,top,3776,7.4,0.2
5.7,ksoftirqd/1,0,71.4,0.0
