SET: 0.00
SET: 8412.45
SET: 8827.11
SET: 8227.63
SET: 8228.26
SET: 8412.51
SET: 8744.88
SET: 9019.83
SET: 9216.87
SET: 9357.46
SET: 9357.17
SET: 9439.67
SET: 9493.04
SET: 9550.80
SET: 9573.46
SET: 9431.15
SET: 9497.39
SET: 9486.66
SET: 9339.45
SET: 9236.86
SET: 9128.11
SET: 9025.96
SET: 8984.27
SET: 8941.36
SET: 8899.55
SET: 8871.28
SET: 8816.15
SET: 8791.69
SET: 8793.12
SET: 8788.83
SET: 8798.62
SET: 8818.74
SET: 8823.63
SET: 8826.20
SET: 8836.10
SET: 8847.36
SET: 8864.08
SET: 8881.74
SET: 8879.70
SET: 8884.94
SET: 8895.27
SET: 8895.00
SET: 8899.59
SET: 8897.84
SET: 8892.93
SET: 8904.60
SET: 8916.80
SET: 8926.86
SET: 8937.68
SET: 8935.37
SET: 8911.42
SET: 8883.25
SET: 8850.58
SET: 8822.89
SET: 8798.57
SET: 8775.85
SET: 8741.93
SET: 8705.50
SET: 8677.75
SET: 8638.56
SET: 8609.05
SET: 8586.27
SET: 8561.63
SET: 8538.27
SET: 8514.09
SET: 8493.44
SET: 8479.76
SET: 8461.72
SET: 8451.10
SET: 8435.13
SET: 8420.16
SET: 8410.74
SET: 8397.01
SET: 8376.87
SET: 8363.02
SET: 8350.63
SET: 8339.69
SET: 8329.42
SET: 8322.24
SET: 8310.90
SET: 8300.99
SET: 8288.75
SET: 8276.17
SET: 8268.39
SET: 8264.06
SET: 8253.97
SET: 8246.61
SET: 8238.96
SET: 8227.81
SET: 8218.45
SET: 8212.54
SET: 8206.18
SET: 8198.43
SET: 8189.84
SET: 8179.98
SET: 8171.08
SET: 8161.88
SET: 8155.97
SET: 8146.83
SET: 8140.59
SET: 8134.17
SET: 8126.10
SET: 8120.96
SET: 8115.89
SET: 8108.49
SET: 8098.77
SET: 8093.86
SET: 8088.85
SET: 8083.97
SET: 8078.78
SET: 8071.98
SET: 8066.77
SET: 8061.41
SET: 8054.76
SET: 8050.93
SET: 8045.88
SET: 8042.33
SET: 8039.96
SET: 8038.61
SET: 8034.64
SET: 8030.50
SET: 8020.57
SET: 8016.19
SET: 8010.65
SET: 8006.17
SET: 8000.99
SET: 7994.69
SET: 7991.78
SET: 7988.86
SET: 7986.82
SET: 7984.01
SET: 7981.42
SET: 7976.94
SET: 7965.11
SET: 7962.31
SET: 7959.72
SET: 7955.59
SET: 7950.57
SET: 7947.49
SET: 7944.72
SET: 7939.51
SET: 7936.75
SET: 7932.40
SET: 7928.33
SET: 7925.62
SET: 7922.78
SET: 7919.22
SET: 7915.46
SET: 7912.15
SET: 7907.56
SET: 7902.46
SET: 7899.50
SET: 7896.93
SET: 7893.58
SET: 7891.58
SET: 7889.09
SET: 7885.90
SET: 7883.86
SET: 7875.55
SET: 7873.83
SET: 7870.45
SET: 7867.69
SET: 7866.59
SET: 7864.84
SET: 7859.01
SET: 7855.23
SET: 7851.85
SET: 7847.80
SET: 7844.69
SET: 7841.47
SET: 7837.34
SET: 7832.98
SET: 7830.22
SET: 7829.36
SET: 7829.01
SET: 7825.67
SET: 7822.43
SET: 7820.49
SET: 7819.72
SET: 7818.42
SET: 7816.58
SET: 7814.22
SET: 7812.27
SET: 7806.93
SET: 7803.49
SET: 7799.04
SET: 7785.64
SET: 7785.85
SET: 7783.95
SET: 7780.04
SET: 7779.25
SET: 7776.73
SET: 7775.65
SET: 7774.68
SET: 7771.83
SET: 7771.46
SET: 7768.94
SET: 7767.53
SET: 7767.04
SET: 7762.46
SET: 7761.84
SET: 7760.68
SET: 7760.11
SET: 7758.92
SET: 7757.40
SET: 7756.73
SET: 7754.85
SET: 7751.72
SET: 7747.61
SET: 7746.73
SET: 7745.52
SET: 7742.42
SET: 7739.49
SET: 7738.09
SET: 7737.27
SET: 7735.19
SET: 7733.38
SET: 7731.82
SET: 7731.52
SET: 7730.13
SET: 7729.52
SET: 7727.98
SET: 7725.45
SET: 7722.66
SET: 7720.00
SET: 7715.80
SET: 7712.83
SET: 7708.26
SET: 7707.47
SET: 7705.49
SET: 7703.68
SET: 7700.43
SET: 7699.07
SET: 7697.27
SET: 7695.51
SET: 7694.71
SET: 7692.84
SET: 7690.19
SET: 7687.75
SET: 7686.53
SET: 7686.32
SET: 7684.90
SET: 7682.71
SET: 7680.36
SET: 7676.77
SET: 7676.18
SET: 7673.73
SET: 7672.62
SET: 7672.11
SET: 7672.18
SET: 7668.75
SET: 7654.24
SET: 7639.27
SET: 7632.29
SET: 7626.46
SET: 7615.41
SET: 7607.77
SET: 7605.35
SET: 7604.31
SET: 7604.70
SET: 7602.54
SET: 7596.63
SET: 7590.11
SET: 7588.43
SET: 7586.90
SET: 7586.19
SET: 7586.79
SET: 7586.77
SET: 7585.80
SET: 7585.08
SET: 7582.69
SET: 7581.03
SET: 7581.09
SET: 7580.17
SET: 7574.91
SET: 7569.92
SET: 7567.43
SET: 7564.27
SET: 7562.76
SET: 7561.93
SET: 7557.38
SET: 7551.04
SET: 7548.17
SET: 7544.11
SET: 7542.06
SET: 7538.73
SET: 7537.54
SET: 7531.84
SET: 7526.56
SET: 7522.81
SET: 7520.79
SET: 7519.81
SET: 7514.32
SET: 7509.72
SET: 7506.72
SET: 7501.43
SET: 7497.88
SET: 7493.16
SET: 7490.10
SET: 7487.37
SET: 7484.77
SET: 7483.29
SET: 7481.25
SET: 7476.58
SET: 7474.69
SET: 7473.52
SET: 7471.86
SET: 7469.52
SET: 7465.49
SET: 7464.57
SET: 7463.28
SET: 7460.21
SET: 7458.25
SET: 7454.97
SET: 7452.25
SET: 7451.03
SET: 7449.15
SET: 7446.20
SET: 7443.34
SET: 7441.16
SET: 7437.26
SET: 7435.01
SET: 7432.48
SET: 7432.06
SET: 7430.40
SET: 7427.87
SET: 7426.10
SET: 7423.84
SET: 7420.88
SET: 7419.66
SET: 7417.35
SET: 7414.58
SET: 7413.62
SET: 7411.35
SET: 7408.84
SET: 7408.07
SET: 7406.58
SET: 7402.03
SET: 7401.34
SET: 7399.57
SET: 7397.77
SET: 7396.15
SET: 7394.14
SET: 7392.68
SET: 7393.18
SET: 7392.30
SET: 7391.43
SET: 7388.77
SET: 7387.06
SET: 7385.01
SET: 7383.59
SET: 7381.74
SET: 7380.49
SET: 7379.89
SET: 7377.91
SET: 7377.09
SET: 7375.62
SET: 7373.19
SET: 7369.74
SET: 7369.33
SET: 7367.76
SET: 7367.11
SET: 7365.43
SET: 7363.91
SET: 7360.85
SET: 7358.20
SET: 7356.43
SET: 7356.12
SET: 7356.87
SET: 7357.11
SET: 7357.09
SET: 7354.92
SET: 7349.00
SET: 7345.13
SET: 7340.02
SET: 7335.63
SET: 7334.33
SET: 7334.06
SET: 7330.65
SET: 7325.47
SET: 7320.64
SET: 7318.05
SET: 7313.24
SET: 7308.73
SET: 7306.67
SET: 7302.46
SET: 7299.07
SET: 7298.48
SET: 7297.47
SET: 7294.44
SET: 7291.48
SET: 7282.98
SET: 7281.63
SET: 7277.90
SET: 7273.93
SET: 7269.89
SET: 7265.55
SET: 7262.60
SET: 7260.22
SET: 7258.53
SET: 7256.79
SET: 7253.98
SET: 7251.23
SET: 7247.78
SET: 7245.02
SET: 7242.20
SET: 7239.25
SET: 7236.59
SET: 7234.14
SET: 7231.87
SET: 7228.65
SET: 7224.30
SET: 7220.00
SET: 7215.97
SET: 7210.97
SET: 7207.60
SET: 7203.34
SET: 7198.39
SET: 7194.56
SET: 7190.83
SET: 7186.46
SET: 7183.23
SET: 7178.67
SET: 7175.14
SET: 7170.67
SET: 7167.18
SET: 7164.36
SET: 7161.76
SET: 7162.24
SET: 7162.07
SET: 7162.03
SET: 7162.70
SET: 7162.87
SET: 7163.37
SET: 7161.96
SET: 7159.20
SET: 7155.85
SET: 7152.49
SET: 7149.93
SET: 7147.09
SET: 7146.15
SET: 7145.30
SET: 7145.55
SET: 7146.62
SET: 7144.87
SET: 7141.47
SET: 7138.99
SET: 7135.46
SET: 7132.38
SET: 7128.62
SET: 7127.78
SET: 7126.17
SET: 7126.40
SET: 7127.83
SET: 7127.96
SET: 7128.08
SET: 7128.49
SET: 7129.51
SET: 7130.54
SET: 7130.82
SET: 7131.71
SET: 7132.16
SET: 7132.67
SET: 7131.63
SET: 7132.12
SET: 7132.27
SET: 7131.21
SET: 7129.42
SET: 7127.50
SET: 7125.40
SET: 7124.87
SET: 7123.83
SET: 7124.09
SET: 7124.79
SET: 7123.45
SET: 7122.65
SET: 7122.36
SET: 7122.11
SET: 7121.47
SET: 7119.84
SET: 7117.42
SET: 7114.99
SET: 7112.11
SET: 7109.73
SET: 7107.00
SET: 7105.14
SET: 7103.73
SET: 7102.40
SET: 7101.08
SET: 7098.36
SET: 7098.03
SET: 7097.78
SET: 7097.79
SET: 7098.03
SET: 7097.17
SET: 7097.04
SET: 7097.01
SET: 7094.14
SET: 7092.29
SET: 7091.79
SET: 7093.13
SET: 7093.51
SET: 7094.13
SET: 7094.70
SET: 7094.50
SET: 7095.78
SET: 7096.48
SET: 7097.15
SET: 7097.20
SET: 7096.83
SET: 7095.77
SET: 7095.53
SET: 7096.07
SET: 7095.57
SET: 7095.30
SET: 7094.49
SET: 7093.67
SET: 7094.90
SET: 7094.73
SET: 7092.63
SET: 7092.83
SET: 7092.81
SET: 7091.76
SET: 7091.07
SET: 7091.33
SET: 7091.53
SET: 7091.42
SET: 7091.13
SET: 7091.14
SET: 7090.84
SET: 7090.39
SET: 7088.77
SET: 7088.15
SET: 7088.20
SET: 7088.43
SET: 7088.05
SET: 7087.87
SET: 7087.84
SET: 7087.75
SET: 7087.10
SET: 7087.33
SET: 7088.05
SET: 7088.52
SET: 7087.47
SET: 7087.02
SET: 7085.21
SET: 7082.84
SET: 7079.82
SET: 7078.06
SET: 7077.94
SET: 7075.80
SET: 7073.50
SET: 7071.60
SET: 7069.89
SET: 7066.75
SET: 7064.02
SET: 7063.23
SET: 7062.64
SET: 7061.26
SET: 7060.41
SET: 7059.42
SET: 7057.95
SET: 7055.42
SET: 7052.62
SET: 7046.87
====== SET ======
  1000000 requests completed in 141.96 seconds
  50 parallel clients
  3 bytes payload
  keep alive: 1
  host configuration "save": 900 1 300 10 60 10000
  host configuration "appendonly": no
  multi-thread: no

0.00% <= 1.3 milliseconds
0.00% <= 1.4 milliseconds
0.00% <= 1.5 milliseconds
0.00% <= 1.6 milliseconds
0.00% <= 1.7 milliseconds
0.01% <= 1.8 milliseconds
0.02% <= 1.9 milliseconds
0.04% <= 2 milliseconds
7.20% <= 3 milliseconds
57.88% <= 4 milliseconds
82.39% <= 5 milliseconds
91.98% <= 6 milliseconds
96.13% <= 7 milliseconds
98.13% <= 8 milliseconds
99.06% <= 9 milliseconds
99.49% <= 10 milliseconds
99.70% <= 11 milliseconds
99.82% <= 12 milliseconds
99.88% <= 13 milliseconds
99.92% <= 14 milliseconds
99.94% <= 15 milliseconds
99.95% <= 16 milliseconds
99.96% <= 17 milliseconds
99.96% <= 18 milliseconds
99.96% <= 19 milliseconds
99.97% <= 20 milliseconds
99.97% <= 21 milliseconds
99.97% <= 22 milliseconds
99.97% <= 23 milliseconds
99.97% <= 24 milliseconds
99.97% <= 25 milliseconds
99.97% <= 26 milliseconds
99.97% <= 27 milliseconds
99.97% <= 28 milliseconds
99.97% <= 29 milliseconds
99.97% <= 30 milliseconds
99.97% <= 31 milliseconds
99.97% <= 32 milliseconds
99.98% <= 33 milliseconds
99.98% <= 34 milliseconds
99.98% <= 35 milliseconds
99.98% <= 36 milliseconds
99.98% <= 42 milliseconds
99.98% <= 43 milliseconds
99.98% <= 44 milliseconds
99.98% <= 45 milliseconds
99.99% <= 46 milliseconds
99.99% <= 47 milliseconds
99.99% <= 48 milliseconds
99.99% <= 49 milliseconds
99.99% <= 50 milliseconds
99.99% <= 70 milliseconds
99.99% <= 79 milliseconds
99.99% <= 80 milliseconds
99.99% <= 87 milliseconds
99.99% <= 88 milliseconds
99.99% <= 89 milliseconds
99.99% <= 90 milliseconds
100.00% <= 109 milliseconds
100.00% <= 110 milliseconds
100.00% <= 111 milliseconds
100.00% <= 112 milliseconds
100.00% <= 113 milliseconds
100.00% <= 114 milliseconds
100.00% <= 114 milliseconds
7044.34 requests per second

